cell_id,pooler,workload,clients,pool_size,protocol,churn,duration_s,n,status,tps_median,tps_min,tps_max,tps_cv,p50_ms,p90_ms,p99_ms,p999_ms
M1-1,direct,select-only,100,10,simple,False,120,5,measured,24038.533387,23305.438623,24716.212146,0.02360172805626173,3.915,5.303,19.138,27.113362999999893
M1-1,odyssey,select-only,100,10,simple,False,120,5,measured,11445.408012,11392.364155,12754.632533,0.060477154195770336,8.69,9.036,10.17,11.835950999999886
M1-1,pgagroal,select-only,100,10,simple,False,120,5,measured,2294.001345,1599.756934,2426.283714,0.15355876111246666,2.092,5.966,35.34917999999993,365.83135799999025
M1-1,pgbouncer,select-only,100,10,simple,False,120,5,measured,17000.202362,16860.313094,20393.890988,0.0978273785955205,5.789,6.456,7.504,8.494975000000093
M1-1,pgcat,select-only,100,10,simple,False,120,5,measured,19628.780704,19409.694552,21993.327418,0.05892798515934421,5.001,5.642,6.744,8.465
M1-1,pgpool,select-only,100,10,simple,False,120,5,measured,15834.647514,15272.972208,17521.898619,0.05397205197693012,5.526,11.202,24.552,36.433394000000085
M1-2,direct,tpcb-like,50,10,simple,False,120,5,measured,5838.235114,4305.239964,5986.996072,0.15724135673151676,5.803,17.054,42.74213,110.11768599999975
M1-2,odyssey,tpcb-like,50,10,simple,False,120,5,measured,4795.424215,3114.585889,4861.860483,0.2058587733957679,9.743,12.003,21.30822999999998,76.33287400000171
M1-2,pgagroal,tpcb-like,50,10,simple,False,120,5,measured,1737.699558,1136.59168,1794.456818,0.17720997149443898,4.532,10.43,23.729150000000054,44.07152800000134
M1-2,pgbouncer,tpcb-like,50,10,simple,False,120,5,measured,4527.027756,2977.50666,4564.408798,0.19220393737797642,10.358,12.666,22.52,106.22190699999976
M1-2,pgcat,tpcb-like,50,10,simple,False,120,5,measured,4065.915379,2485.196962,4113.576969,0.19644900879472255,11.694,14.091,23.163439999999945,73.92509599999939
M1-2,pgpool,tpcb-like,50,10,simple,False,120,5,measured,4342.186776,3281.545377,4376.036374,0.1352851362739449,8.029,23.061,55.56919999999995,101.7306240000017
M1-3,direct,tpcb-like,50,10,prepared,False,60,3,measured,6122.597034,6105.384714,6180.841407,0.0064443065803866965,6.019,15.753,35.882,62.949155999999725
M1-3,odyssey,tpcb-like,50,10,prepared,False,60,3,timeout/inconclusive,,,,,,,,
M1-3,pgagroal,tpcb-like,50,10,prepared,False,60,3,timeout/inconclusive,,,,,,,,
M1-3,pgbouncer,tpcb-like,50,10,prepared,False,60,3,timeout/inconclusive,,,,,,,,
M1-3,pgcat,tpcb-like,50,10,prepared,False,60,3,timeout/inconclusive,,,,,,,,
M1-3,pgpool,tpcb-like,50,10,prepared,False,60,3,measured,3126.884985,3086.421305,3144.601972,0.009560542376084726,12.67,28.367,61.71074999999997,101.75965999999922
M1-4,direct,select-only,200,10,simple,False,60,3,timeout/inconclusive,,,,,,,,
M1-4,odyssey,select-only,200,10,simple,False,60,3,measured,11265.95352,11199.122239,11469.569036,0.012453698139463468,17.646,18.363,20.291,23.308
