episode,k1,k2,v,pred1,pred2,correct
0,7,48,13,48,7,0
1,37,41,61,51,52,0
2,47,56,45,56,25,0
3,41,34,21,25,25,0
4,50,60,41,9,50,0
5,62,6,27,6,62,0
6,44,29,42,32,44,0
7,13,14,19,14,25,0
8,58,45,42,7,32,0
9,57,49,29,25,5,0
10,56,37,60,19,37,0
11,8,54,16,54,54,0
12,28,48,60,50,48,0
13,7,41,8,32,65,0
14,22,23,48,14,48,0
15,11,1,62,1,5,0
16,45,42,25,25,42,0
17,53,51,1,54,54,0
18,62,26,61,26,62,0
19,3,54,59,54,54,0
20,27,34,7,5,54,0
21,40,17,4,17,40,0
22,35,10,21,35,35,0
23,10,34,20,25,25,0
24,50,63,47,19,50,0
25,42,10,28,11,42,0
26,27,26,24,26,26,0
27,33,16,58,51,19,0
28,47,17,6,19,17,0
29,16,35,52,35,35,0
30,25,29,41,25,25,0
31,57,22,40,50,24,0
32,33,48,38,48,25,0
33,53,28,42,28,50,0
34,29,19,16,19,65,0
35,18,7,50,7,18,0
36,16,37,28,37,25,0
37,41,56,45,56,25,0
38,15,41,8,51,41,0
39,38,18,53,18,7,0
40,46,14,31,14,10,0
41,57,15,13,25,5,0
42,2,60,23,39,2,0
43,45,6,56,6,19,0
44,10,11,12,11,25,0
45,8,37,40,37,25,0
46,41,54,48,54,54,0
47,29,12,24,34,6,0
48,25,41,57,25,25,0
49,10,35,53,35,35,0
50,52,26,56,26,26,0
51,47,15,50,50,51,0
52,51,2,56,2,39,0
53,12,32,47,32,25,0
54,32,57,47,25,32,0
55,36,22,17,14,36,0
56,19,4,43,4,19,0
57,22,50,58,54,50,0
58,46,53,6,19,46,0
59,34,28,59,28,25,0
60,52,31,62,8,31,0
61,62,26,12,26,62,0
62,11,29,54,54,54,0
63,16,54,20,54,54,0
64,29,12,3,34,34,0
65,37,31,57,31,30,0
66,21,43,33,14,43,0
67,39,33,31,33,49,0
68,12,38,23,38,38,0
69,27,50,26,50,26,1
70,30,58,62,19,19,0
71,31,57,62,11,31,0
72,31,30,60,30,30,0
73,53,10,7,10,19,0
74,53,14,31,14,14,0
75,42,3,51,25,42,0
76,6,60,10,19,19,0
77,15,24,47,50,24,0
78,33,43,16,43,19,0
79,49,14,27,14,14,0
80,61,8,54,34,61,0
81,43,46,13,46,46,0
82,21,20,31,20,20,0
83,26,18,17,18,26,0
84,44,31,29,31,31,0
85,15,3,27,3,25,0
86,60,36,16,25,25,0
87,52,19,5,19,65,0
88,55,26,28,26,26,0
89,28,20,31,50,28,0
90,59,53,12,53,25,0
91,24,9,13,9,9,0
92,1,4,17,5,1,0
93,23,3,47,55,25,0
94,45,0,55,25,25,0
95,58,6,45,19,19,0
96,23,28,17,28,19,0
97,8,24,23,24,14,0
98,61,43,20,61,61,0
99,20,2,29,2,19,0
