episode,query_idx,key,value,pred,correct,rank
0,0,60,41,64,0,43
0,1,1,15,64,0,16
0,2,34,50,64,0,7
0,3,43,44,64,0,5
0,4,12,1,64,0,2
0,5,58,22,64,0,14
0,6,26,47,64,0,33
0,7,54,43,64,0,3
0,8,17,61,64,0,20
0,9,62,45,64,0,25
0,10,36,48,64,0,33
0,11,57,9,64,0,62
0,12,7,5,64,0,21
0,13,16,22,64,0,17
0,14,49,62,64,0,12
0,15,44,20,64,0,8
1,0,3,45,64,0,13
1,1,4,51,64,0,45
1,2,51,12,64,0,12
1,3,48,23,64,0,60
1,4,50,43,7,0,16
1,5,15,55,64,0,33
1,6,56,38,64,0,5
1,7,47,13,64,0,29
1,8,60,34,64,0,22
1,9,14,12,64,0,6
1,10,49,6,64,0,25
1,11,45,25,64,0,4
1,12,34,39,64,0,42
1,13,35,7,64,0,2
1,14,0,34,64,0,8
1,15,5,7,64,0,2
2,0,27,16,64,0,33
2,1,43,10,64,0,17
2,2,12,39,64,0,2
2,3,34,24,64,0,59
2,4,18,59,64,0,4
2,5,39,11,64,0,20
2,6,13,3,64,0,2
2,7,44,6,64,0,18
2,8,35,34,64,0,13
2,9,45,50,64,0,24
2,10,40,5,64,0,5
2,11,10,25,64,0,38
2,12,3,39,64,0,15
2,13,22,19,64,0,35
2,14,56,13,64,0,24
2,15,47,28,64,0,36
3,0,39,13,64,0,2
3,1,2,58,64,0,10
3,2,11,48,64,0,10
3,3,19,55,64,0,5
3,4,43,36,64,0,18
3,5,14,53,64,0,12
3,6,32,13,64,0,5
3,7,55,33,64,0,30
3,8,58,8,64,0,35
3,9,41,14,64,0,55
3,10,16,44,64,0,55
3,11,3,10,64,0,57
3,12,36,45,64,0,22
3,13,48,63,64,0,53
3,14,18,5,64,0,50
3,15,7,52,64,0,40
4,0,56,26,64,0,60
4,1,18,49,64,0,48
4,2,42,0,64,0,16
4,3,24,52,64,0,8
4,4,23,25,64,0,55
4,5,41,14,64,0,20
4,6,38,48,64,0,24
4,7,59,52,64,0,4
4,8,48,57,64,0,43
4,9,4,41,64,0,11
4,10,21,30,64,0,26
4,11,55,43,64,0,16
4,12,17,52,64,0,8
4,13,57,22,64,0,11
4,14,0,5,64,0,39
4,15,61,42,64,0,12
5,0,29,35,64,0,22
5,1,36,16,64,0,6
5,2,39,47,64,0,25
5,3,13,23,64,0,14
5,4,53,9,64,0,11
5,5,11,57,64,0,41
5,6,6,23,64,0,16
5,7,54,9,64,0,10
5,8,26,54,64,0,4
5,9,2,28,64,0,2
5,10,1,59,64,0,14
5,11,23,63,64,0,16
5,12,38,17,64,0,38
5,13,63,39,64,0,8
5,14,61,56,64,0,40
5,15,24,39,64,0,6
6,0,41,51,64,0,59
6,1,38,4,64,0,5
6,2,6,3,64,0,3
6,3,19,14,64,0,7
6,4,3,44,64,0,36
6,5,29,16,64,0,9
6,6,9,24,64,0,34
6,7,32,52,64,0,27
6,8,8,61,64,0,3
6,9,44,12,64,0,29
6,10,24,56,64,0,7
6,11,2,4,64,0,7
6,12,40,2,64,0,7
6,13,62,14,64,0,29
6,14,10,13,64,0,16
6,15,39,28,64,0,47
7,0,61,27,6,0,7
7,1,7,23,6,0,32
7,2,42,60,6,0,30
7,3,31,59,6,0,17
7,4,60,15,6,0,39
7,5,54,19,6,0,42
7,6,45,36,52,0,45
7,7,13,9,64,0,54
7,8,20,25,44,0,27
7,9,40,61,64,0,9
7,10,52,19,64,0,2
7,11,39,26,64,0,26
7,12,62,61,7,0,29
7,13,6,29,64,0,36
7,14,30,31,64,0,6
7,15,14,49,64,0,26
8,0,10,55,64,0,23
8,1,17,55,64,0,21
8,2,32,62,64,0,33
8,3,41,43,64,0,19
8,4,0,49,64,0,32
8,5,30,56,64,0,12
8,6,8,44,64,0,14
8,7,38,58,64,0,25
8,8,18,25,64,0,48
8,9,45,0,64,0,4
8,10,6,10,64,0,17
8,11,49,17,64,0,42
8,12,7,50,64,0,29
8,13,24,15,64,0,39
8,14,1,26,64,0,55
8,15,9,12,64,0,36
9,0,40,48,64,0,2
9,1,46,33,64,0,7
9,2,24,21,64,0,3
9,3,20,0,64,0,25
9,4,32,48,64,0,2
9,5,52,54,64,0,58
9,6,26,9,64,0,12
9,7,28,8,64,0,35
9,8,42,60,64,0,37
9,9,18,37,64,0,10
9,10,33,16,64,0,36
9,11,45,57,64,0,43
9,12,48,46,64,0,3
9,13,44,49,64,0,44
9,14,59,32,64,0,38
9,15,39,3,64,0,19
10,0,15,26,64,0,9
10,1,45,52,64,0,23
10,2,1,2,64,0,10
10,3,31,53,64,0,33
10,4,7,5,64,0,11
10,5,4,47,64,0,47
10,6,43,33,64,0,16
10,7,34,26,64,0,2
10,8,51,42,64,0,3
10,9,13,19,64,0,63
10,10,55,62,64,0,22
10,11,48,37,64,0,7
10,12,40,22,64,0,11
10,13,36,61,64,0,50
10,14,5,40,64,0,8
10,15,11,39,64,0,30
11,0,14,16,64,0,10
11,1,28,36,64,0,6
11,2,2,47,64,0,18
11,3,25,43,64,0,43
11,4,40,36,64,0,6
11,5,36,15,64,0,43
11,6,34,32,64,0,40
11,7,13,54,64,0,8
11,8,23,42,64,0,5
11,9,54,41,64,0,23
11,10,18,30,64,0,18
11,11,37,10,64,0,44
11,12,19,40,64,0,14
11,13,55,63,64,0,62
11,14,46,54,64,0,6
11,15,27,17,64,0,45
12,0,46,38,64,0,25
12,1,43,36,64,0,10
12,2,26,19,64,0,11
