episode,k1,k2,v,pred1,pred2,correct
0,62,401,110,69,412,0
1,298,335,506,513,292,0
2,383,454,375,430,513,0
3,343,277,177,513,292,0
4,412,483,341,298,513,0
5,498,49,226,513,292,0
6,357,235,353,513,439,0
7,111,120,154,513,439,0
8,467,371,352,69,412,0
9,470,411,233,513,439,0
10,462,312,482,513,292,0
11,65,446,136,513,292,0
12,230,397,487,513,439,0
13,62,329,71,69,412,0
14,180,194,400,430,98,0
15,94,11,91,513,439,0
16,373,344,203,513,292,0
17,435,413,15,390,513,0
18,503,218,492,513,292,0
19,31,435,485,513,292,0
20,225,280,58,513,292,0
21,326,137,40,513,292,0
22,287,80,180,426,252,0
23,85,279,162,13,314,0
24,417,403,387,513,439,0
25,340,80,233,513,292,0
26,227,221,198,11,405,0
27,270,130,479,513,439,0
28,387,141,52,513,439,0
29,133,285,426,513,292,0
30,203,235,340,513,439,0
31,472,178,332,513,439,0
32,269,390,312,513,292,0
33,431,237,345,513,439,0
34,243,163,134,513,292,0
35,148,63,407,513,439,0
36,137,302,231,208,513,0
37,341,458,366,513,292,0
38,129,339,64,513,439,0
39,315,151,426,513,439,0
40,374,116,255,513,439,0
41,460,129,105,513,439,0
42,18,486,192,513,439,0
43,377,48,454,513,439,0
44,88,97,101,513,292,0
45,70,306,320,513,439,0
46,339,439,396,513,439,0
47,244,102,199,159,78,0
48,209,330,475,513,439,0
49,87,286,442,450,513,0
50,425,219,448,432,513,0
51,378,130,408,513,439,0
52,424,21,451,60,513,0
53,98,264,377,52,513,0
54,260,470,387,513,439,0
55,292,182,142,513,439,0
56,163,33,353,66,513,0
57,185,406,475,513,439,0
58,383,429,56,430,513,0
59,275,234,488,66,513,0
60,429,257,501,513,439,0
61,98,208,102,52,513,0
62,95,239,440,513,439,0
63,134,434,164,513,439,0
64,240,99,27,513,292,0
65,305,253,470,513,439,0
66,177,350,268,513,439,0
67,316,270,257,126,281,0
68,99,310,189,513,292,0
69,223,412,212,513,292,0
70,248,464,508,513,292,0
71,253,472,503,513,292,0
72,252,247,496,513,292,0
73,425,86,59,432,13,0
74,431,118,249,513,439,0
75,342,26,414,513,292,0
76,53,491,81,356,274,0
77,123,204,385,111,513,0
78,278,349,130,513,439,0
79,404,118,222,300,60,0
80,509,71,440,513,292,0
81,356,385,107,426,252,0
82,168,171,254,417,513,0
83,210,148,139,513,292,0
84,357,261,232,513,292,0
85,127,25,223,513,439,0
86,491,295,137,513,439,0
87,424,159,47,60,513,0
88,454,215,231,513,439,0
89,236,165,254,513,439,0
90,492,428,99,309,419,0
91,200,79,108,513,108,0
92,8,35,139,191,292,0
93,194,26,383,231,54,0
94,370,4,454,513,439,0
95,481,52,367,513,292,0
96,189,229,144,292,513,0
97,66,193,188,513,292,0
98,507,346,169,160,513,0
99,166,17,240,52,513,0
