episode,k1,k2,v,pred1,pred2,correct
0,62,401,110,154,512,0
1,298,335,506,512,403,0
2,383,454,375,512,403,0
3,343,277,177,512,403,0
4,412,483,341,512,512,0
5,498,49,226,159,466,0
6,357,235,353,512,403,0
7,111,120,154,154,441,0
8,467,371,352,512,403,0
9,470,411,233,512,403,0
10,462,312,482,512,403,0
11,65,446,136,166,331,0
12,230,397,487,512,403,0
13,62,329,71,154,512,0
14,180,194,400,512,512,0
15,94,11,91,512,403,0
16,373,344,203,512,403,0
17,435,413,15,261,512,0
18,503,218,492,512,403,0
19,31,435,485,512,403,0
20,225,280,58,191,512,0
21,326,137,40,72,196,0
22,287,80,180,512,403,0
23,85,279,162,512,462,0
24,417,403,387,209,66,0
25,340,80,233,316,333,0
26,227,221,198,512,403,0
27,270,130,479,512,79,0
28,387,141,52,512,403,0
29,133,285,426,242,512,0
30,203,235,340,512,403,0
31,472,178,332,512,403,0
32,269,390,312,512,403,0
33,431,237,345,512,403,0
34,243,163,134,19,66,0
35,148,63,407,512,403,0
36,137,302,231,386,331,0
37,341,458,366,512,403,0
38,129,339,64,512,403,0
39,315,151,426,512,513,0
40,374,116,255,261,191,0
41,460,129,105,512,512,0
42,18,486,192,512,403,0
43,377,48,454,512,403,0
44,88,97,101,512,403,0
45,70,306,320,512,79,0
46,339,439,396,512,403,0
47,244,102,199,137,512,0
48,209,330,475,512,403,0
49,87,286,442,512,403,0
50,425,219,448,512,403,0
51,378,130,408,512,403,0
52,424,21,451,512,403,0
53,98,264,377,512,403,0
54,260,470,387,512,403,0
55,292,182,142,331,191,0
56,163,33,353,512,79,0
57,185,406,475,512,403,0
58,383,429,56,512,403,0
59,275,234,488,512,403,0
60,429,257,501,441,331,0
61,98,208,102,425,512,0
62,95,239,440,293,445,0
63,134,434,164,512,403,0
64,240,99,27,179,209,0
65,305,253,470,512,512,0
66,177,350,268,512,403,0
67,316,270,257,333,372,0
68,99,310,189,512,403,0
69,223,412,212,512,403,0
70,248,464,508,445,512,0
71,253,472,503,512,403,0
72,252,247,496,512,403,0
73,425,86,59,512,403,0
74,431,118,249,512,403,0
75,342,26,414,512,512,0
76,53,491,81,512,403,0
77,123,204,385,512,403,0
78,278,349,130,512,403,0
79,404,118,222,512,403,0
80,509,71,440,512,403,0
81,356,385,107,469,125,0
82,168,171,254,512,403,0
83,210,148,139,512,403,0
84,357,261,232,512,403,0
85,127,25,223,512,403,0
86,491,295,137,184,512,0
87,424,159,47,512,403,0
88,454,215,231,512,403,0
89,236,165,254,512,403,0
90,492,428,99,512,403,0
91,200,79,108,512,403,0
92,8,35,139,512,403,0
93,194,26,383,512,512,0
94,370,4,454,512,403,0
95,481,52,367,512,403,0
96,189,229,144,512,512,0
97,66,193,188,512,403,0
98,507,346,169,137,512,0
99,166,17,240,512,403,0
