episode,gap,a,b,pred,correct
0,16,392,208,512,0
1,16,311,434,512,0
2,16,327,171,512,0
3,16,174,328,512,0
4,16,471,277,512,0
5,16,332,102,512,0
6,16,402,397,512,0
7,16,280,148,512,0
8,16,145,422,512,0
9,16,211,364,512,0
10,16,410,406,512,0
11,16,472,7,512,0
12,16,392,230,512,0
13,16,479,353,512,0
14,16,354,88,512,0
15,16,484,108,512,0
16,16,476,197,512,0
17,16,26,206,512,0
18,16,349,498,512,0
19,16,179,420,512,0
20,16,250,437,512,0
21,16,139,31,512,0
22,16,68,268,512,0
23,16,303,271,512,0
24,16,121,86,512,0
25,16,290,357,512,0
26,16,13,43,512,0
27,16,344,275,512,0
28,16,74,43,512,0
29,16,432,275,512,0
30,16,312,192,512,0
31,16,463,202,512,0
32,16,480,445,512,0
33,16,145,408,512,0
34,16,366,4,512,0
35,16,130,95,512,0
36,16,463,396,512,0
37,16,89,125,512,0
38,16,102,112,512,0
39,16,330,196,512,0
40,16,31,254,512,0
41,16,194,510,512,0
42,16,345,7,512,0
43,16,463,188,512,0
44,16,191,248,512,0
45,16,224,48,512,0
46,16,37,241,512,0
47,16,324,179,512,0
48,16,357,71,512,0
49,16,333,70,512,0
50,16,486,87,512,0
51,16,254,199,512,0
52,16,58,133,512,0
53,16,38,198,512,0
54,16,471,168,512,0
55,16,322,218,512,0
56,16,134,416,512,0
57,16,392,362,512,0
58,16,185,190,512,0
59,16,293,219,512,0
60,16,333,295,512,0
61,16,275,459,512,0
62,16,275,372,512,0
63,16,119,130,512,0
64,16,111,134,512,0
65,16,222,228,512,0
66,16,228,30,512,0
67,16,193,286,512,0
68,16,87,42,512,0
69,16,200,300,512,0
70,16,414,15,512,0
71,16,360,220,512,0
72,16,509,304,512,0
73,16,241,354,512,0
74,16,310,241,512,0
75,16,289,355,512,0
76,16,343,99,512,0
77,16,457,218,512,0
78,16,142,507,512,0
79,16,392,260,512,0
80,16,219,158,512,0
81,16,302,9,512,0
82,16,30,338,512,0
83,16,225,67,512,0
84,16,423,125,512,0
85,16,428,92,512,0
86,16,157,41,512,0
87,16,474,339,512,0
88,16,392,473,512,0
89,16,93,273,512,0
90,16,479,415,512,0
91,16,267,396,512,0
92,16,34,240,512,0
93,16,279,503,512,0
94,16,374,89,512,0
95,16,122,472,512,0
96,16,477,317,512,0
97,16,23,508,512,0
98,16,463,283,512,0
99,16,169,135,512,0
