episode,query_idx,key,value,pred,correct,rank
0,0,360,330,208,0,253
0,1,16,124,469,0,339
0,2,332,401,378,0,81
0,3,380,356,60,0,28
0,4,108,10,13,0,154
0,5,477,176,307,0,277
0,6,253,380,513,0,2
0,7,151,351,313,0,20
0,8,175,490,512,0,401
0,9,63,365,512,0,235
0,10,325,384,512,0,107
0,11,490,74,512,0,17
0,12,73,45,512,0,247
0,13,152,180,512,0,261
0,14,492,497,512,0,510
0,15,354,164,512,0,2
1,0,36,365,43,0,168
1,1,46,414,140,0,495
1,2,436,100,513,0,242
1,3,444,191,513,0,164
1,4,449,345,513,0,395
1,5,135,447,513,0,283
1,6,32,304,513,0,12
1,7,479,107,513,0,169
1,8,427,276,512,0,41
1,9,118,97,512,0,396
1,10,477,54,512,0,476
1,11,454,203,512,0,429
1,12,281,313,512,0,460
1,13,305,59,512,0,340
1,14,7,272,512,0,89
1,15,503,56,512,0,420
2,0,234,135,252,0,102
2,1,408,87,21,0,283
2,2,96,316,405,0,480
2,3,317,195,450,0,509
2,4,171,476,513,0,42
2,5,381,92,388,0,511
2,6,130,31,513,0,275
2,7,384,48,95,0,386
2,8,357,276,512,0,169
2,9,397,406,512,0,182
2,10,358,44,512,0,389
2,11,103,204,512,0,507
2,12,25,27,512,0,136
2,13,203,154,512,0,476
2,14,466,104,512,0,409
2,15,510,224,512,0,95
3,0,324,107,430,0,57
3,1,25,471,513,0,152
3,2,103,386,452,0,496
3,3,183,442,79,0,484
3,4,399,294,513,0,367
3,5,123,430,513,0,23
3,6,306,104,513,0,206
3,7,447,264,405,0,219
3,8,101,69,512,0,283
3,9,412,112,512,0,143
3,10,156,353,512,0,9
3,11,29,86,512,0,363
3,12,367,366,512,0,185
3,13,391,510,512,0,39
3,14,164,46,512,0,407
3,15,63,418,512,0,27
4,0,363,215,513,0,95
4,1,174,395,191,0,223
4,2,354,7,513,0,154
4,3,249,422,109,0,277
4,4,217,204,126,0,56
4,5,395,113,140,0,270
4,6,306,388,513,0,398
4,7,37,422,370,0,348
4,8,478,456,512,0,194
4,9,46,331,512,0,74
4,10,172,245,512,0,24
4,11,475,344,512,0,237
4,12,166,420,512,0,278
4,13,150,176,512,0,283
4,14,5,42,512,0,291
4,15,8,336,512,0,153
5,0,272,285,171,0,317
5,1,360,132,208,0,289
5,2,345,377,60,0,503
5,3,128,187,292,0,243
5,4,444,72,513,0,333
5,5,114,462,293,0,251
5,6,53,191,356,0,185
5,7,442,75,422,0,266
5,8,249,438,512,0,411
5,9,21,228,512,0,63
5,10,16,475,512,0,424
5,11,231,509,512,0,221
5,12,333,139,512,0,357
5,13,213,315,512,0,205
5,14,327,452,512,0,419
5,15,210,314,512,0,64
6,0,345,412,452,0,138
6,1,326,34,513,0,303
6,2,50,29,513,0,149
6,3,163,113,66,0,115
6,4,31,352,422,0,477
6,5,272,132,171,0,339
6,6,89,192,100,0,337
6,7,300,420,513,0,39
6,8,80,491,512,0,389
6,9,418,96,512,0,213
6,10,235,450,512,0,148
