episode,query_idx,key,value,pred,correct,rank
0,0,71,495,512,0,355
0,1,152,123,512,0,235
0,2,176,473,512,0,15
0,3,251,280,512,0,505
0,4,3,32,512,0,14
0,5,276,234,512,0,247
0,6,450,368,512,0,231
0,7,123,508,512,0,492
1,0,325,150,512,0,297
1,1,85,58,512,0,204
1,2,29,9,512,0,107
1,3,53,279,512,0,32
1,4,94,120,512,0,347
1,5,501,365,512,0,319
1,6,345,331,512,0,11
1,7,28,366,512,0,375
2,0,142,246,512,0,370
2,1,447,280,512,0,310
2,2,223,152,512,0,79
2,3,490,511,512,0,404
2,4,271,310,512,0,437
2,5,369,436,512,0,282
2,6,507,405,512,0,194
2,7,44,218,512,0,161
3,0,180,15,512,0,429
3,1,230,339,512,0,450
3,2,425,241,512,0,93
3,3,366,441,512,0,65
3,4,168,113,512,0,242
3,5,285,16,512,0,413
3,6,364,32,512,0,310
3,7,50,186,512,0,477
4,0,18,433,512,0,405
4,1,382,203,512,0,30
4,2,34,81,512,0,11
4,3,273,147,512,0,262
4,4,182,109,512,0,312
4,5,227,264,512,0,226
4,6,476,235,512,0,352
4,7,96,143,512,0,81
5,0,476,354,512,0,427
5,1,487,78,512,0,127
5,2,496,327,512,0,84
5,3,332,397,512,0,232
5,4,246,470,512,0,180
5,5,57,65,512,0,191
5,6,289,293,512,0,35
5,7,382,116,512,0,49
6,0,113,495,154,0,179
6,1,242,426,512,0,45
6,2,241,216,512,0,331
6,3,123,75,512,0,240
6,4,346,367,512,0,214
6,5,495,277,512,0,467
6,6,370,12,512,0,339
6,7,389,272,512,0,423
7,0,132,19,512,0,4
7,1,510,397,512,0,149
7,2,129,371,512,0,342
7,3,430,426,512,0,99
7,4,252,217,512,0,451
7,5,261,39,512,0,10
7,6,131,289,512,0,191
7,7,32,159,512,0,11
8,0,368,422,512,0,347
8,1,418,472,512,0,86
8,2,400,473,512,0,146
8,3,208,80,512,0,181
8,4,66,155,512,0,319
8,5,482,111,512,0,72
8,6,229,332,512,0,412
8,7,12,302,512,0,52
9,0,84,283,512,0,165
9,1,375,335,512,0,468
9,2,395,420,512,0,486
9,3,222,367,512,0,113
9,4,481,173,512,0,129
9,5,27,47,512,0,404
9,6,389,286,512,0,488
9,7,191,399,512,0,486
10,0,417,356,512,0,216
10,1,370,222,512,0,370
10,2,326,173,512,0,334
10,3,105,383,512,0,109
10,4,412,51,512,0,414
10,5,401,3,512,0,234
10,6,335,24,512,0,206
10,7,446,450,512,0,373
11,0,424,452,512,0,291
11,1,325,477,512,0,139
11,2,500,291,512,0,156
11,3,372,138,512,0,296
11,4,107,424,512,0,171
11,5,125,477,512,0,126
11,6,371,280,512,0,295
11,7,438,313,512,0,103
12,0,170,385,512,0,235
12,1,487,350,512,0,101
12,2,348,108,512,0,14
12,3,119,44,512,0,188
12,4,195,322,512,0,29
12,5,142,107,512,0,93
12,6,382,105,512,0,194
12,7,38,203,512,0,92
13,0,263,133,512,0,361
13,1,374,137,512,0,153
13,2,466,42,512,0,84
13,3,193,158,512,0,363
13,4,153,416,512,0,205
13,5,495,27,512,0,243
13,6,364,345,512,0,59
13,7,249,443,512,0,64
14,0,446,396,512,0,138
14,1,357,96,512,0,462
14,2,425,477,512,0,233
14,3,494,367,512,0,14
14,4,314,381,512,0,53
14,5,271,192,512,0,52
14,6,92,174,512,0,286
14,7,68,158,512,0,188
15,0,38,20,512,0,168
15,1,222,342,512,0,411
15,2,28,8,512,0,112
15,3,345,82,512,0,471
15,4,186,44,512,0,299
15,5,48,190,512,0,208
15,6,158,62,512,0,475
15,7,505,491,512,0,344
16,0,303,110,512,0,255
16,1,187,308,512,0,236
16,2,227,484,512,0,148
16,3,59,83,512,0,281
16,4,171,61,512,0,502
16,5,74,198,512,0,444
16,6,130,285,512,0,406
16,7,476,97,512,0,403
17,0,92,47,512,0,343
17,1,63,339,512,0,474
17,2,135,205,512,0,16
17,3,356,140,512,0,407
17,4,479,503,512,0,103
17,5,386,194,512,0,116
17,6,252,112,512,0,482
17,7,346,421,512,0,186
18,0,507,285,512,0,234
18,1,398,429,512,0,358
18,2,409,301,512,0,79
18,3,359,509,512,0,27
18,4,499,38,512,0,181
18,5,204,52,512,0,79
18,6,462,19,512,0,5
18,7,89,136,512,0,152
19,0,410,42,512,0,332
19,1,475,27,512,0,362
19,2,267,211,512,0,485
19,3,92,148,512,0,251
19,4,85,509,512,0,374
19,5,254,286,512,0,268
19,6,62,479,512,0,439
19,7,408,434,512,0,340
20,0,9,7,512,0,181
20,1,142,402,512,0,91
20,2,262,146,512,0,356
20,3,308,24,512,0,198
20,4,191,182,512,0,170
20,5,280,476,512,0,252
20,6,82,105,512,0,222
20,7,309,135,512,0,84
21,0,175,270,512,0,177
21,1,144,12,512,0,70
21,2,457,8,512,0,119
21,3,372,428,512,0,134
21,4,98,292,512,0,390
21,5,483,107,512,0,296
21,6,264,98,512,0,70
21,7,36,60,512,0,44
22,0,410,84,512,0,341
22,1,84,322,512,0,488
22,2,128,288,512,0,162
22,3,87,201,512,0,226
22,4,357,183,512,0,84
22,5,439,101,512,0,403
22,6,189,198,512,0,500
22,7,272,478,512,0,234
23,0,324,178,512,0,49
23,1,464,422,512,0,507
23,2,267,108,512,0,222
23,3,236,407,512,0,263
23,4,272,472,512,0,46
23,5,442,250,512,0,208
23,6,317,277,512,0,486
23,7,159,123,512,0,280
24,0,132,302,512,0,66
24,1,238,327,512,0,59
24,2,446,391,512,0,5
24,3,386,446,512,0,229
24,4,441,367,512,0,41
24,5,358,445,512,0,75
24,6,134,429,512,0,492
24,7,355,300,512,0,263
25,0,139,26,512,0,126
25,1,499,29,512,0,506
25,2,444,30,512,0,125
25,3,321,105,512,0,427
25,4,208,490,512,0,494
25,5,287,113,512,0,140
25,6,327,61,512,0,233
25,7,145,100,512,0,23
26,0,269,484,512,0,93
26,1,383,502,512,0,201
26,2,43,446,512,0,65
26,3,324,1,512,0,184
26,4,316,443,512,0,437
26,5,243,406,512,0,130
26,6,128,256,512,0,288
26,7,5,54,512,0,338
27,0,390,65,512,0,78
27,1,201,70,512,0,439
27,2,67,294,512,0,411
27,3,14,311,512,0,348
27,4,338,364,512,0,46
27,5,187,328,512,0,307
27,6,442,440,512,0,469
27,7,265,351,512,0,125
28,0,134,115,512,0,274
28,1,146,81,512,0,19
28,2,170,110,512,0,345
28,3,75,50,512,0,181
28,4,397,230,512,0,513
28,5,464,127,512,0,503
28,6,456,5,512,0,437
28,7,267,197,512,0,493
29,0,333,82,512,0,97
29,1,470,78,512,0,308
29,2,158,11,512,0,345
29,3,293,425,512,0,469
29,4,385,213,512,0,481
29,5,102,181,512,0,305
29,6,217,186,512,0,229
29,7,336,505,512,0,494
30,0,286,248,512,0,345
30,1,190,50,512,0,242
30,2,292,218,512,0,153
30,3,469,25,512,0,467
30,4,503,350,512,0,376
30,5,57,236,512,0,259
30,6,459,468,512,0,293
30,7,406,34,512,0,3
31,0,123,185,512,0,39
31,1,398,269,512,0,204
31,2,375,131,512,0,54
31,3,387,97,512,0,513
31,4,488,15,512,0,327
31,5,132,453,512,0,176
31,6,403,421,512,0,286
31,7,331,152,512,0,19
32,0,307,130,512,0,303
32,1,456,487,512,0,268
32,2,176,456,512,0,217
32,3,104,167,512,0,172
32,4,327,397,512,0,354
32,5,130,479,512,0,459
32,6,329,383,512,0,230
32,7,446,16,512,0,461
33,0,35,374,512,0,264
33,1,251,23,512,0,97
33,2,112,119,512,0,257
33,3,29,320,512,0,357
33,4,10,194,512,0,66
33,5,505,424,512,0,239
33,6,361,499,512,0,406
33,7,275,172,512,0,97
34,0,253,3,512,0,180
34,1,149,251,512,0,436
34,2,193,213,512,0,465
34,3,217,364,512,0,230
34,4,132,13,512,0,483
34,5,30,444,512,0,442
34,6,285,510,512,0,352
34,7,61,146,512,0,58
35,0,68,134,512,0,18
35,1,128,105,512,0,435
35,2,141,496,512,0,412
35,3,369,419,512,0,121
35,4,101,199,512,0,197
35,5,477,372,512,0,487
35,6,444,246,512,0,250
35,7,343,507,512,0,112
36,0,493,161,512,0,385
36,1,94,385,512,0,402
36,2,184,484,512,0,306
36,3,99,299,512,0,491
36,4,332,167,512,0,437
36,5,127,277,512,0,378
36,6,236,309,512,0,94
36,7,373,237,512,0,427
37,0,310,239,512,0,452
37,1,200,458,512,0,289
37,2,37,174,512,0,15
37,3,119,324,512,0,41
37,4,322,94,512,0,455
37,5,410,413,512,0,199
37,6,217,63,512,0,171
37,7,405,392,512,0,397
38,0,84,285,512,0,364
38,1,103,436,512,0,272
38,2,454,11,512,0,340
38,3,124,270,512,0,503
38,4,216,15,512,0,285
38,5,295,419,512,0,192
38,6,91,293,512,0,41
38,7,407,377,512,0,485
39,0,13,350,512,0,253
39,1,110,383,512,0,214
39,2,26,258,512,0,425
39,3,115,333,512,0,377
39,4,244,61,512,0,506
39,5,20,356,512,0,104
39,6,254,74,512,0,292
39,7,170,505,512,0,353
40,0,227,71,512,0,209
40,1,349,468,512,0,109
40,2,221,192,512,0,231
40,3,435,443,512,0,364
40,4,120,160,512,0,122
40,5,317,352,512,0,80
40,6,238,167,512,0,108
40,7,327,415,512,0,414
41,0,355,235,512,0,183
41,1,505,59,512,0,140
41,2,301,404,512,0,397
41,3,259,59,512,0,19
41,4,35,362,512,0,475
41,5,229,88,512,0,69
41,6,381,266,512,0,45
41,7,61,339,512,0,335
42,0,430,486,512,0,477
42,1,368,397,512,0,66
42,2,254,200,512,0,198
42,3,44,313,512,0,113
42,4,325,376,512,0,88
42,5,493,28,512,0,97
42,6,255,117,512,0,443
42,7,170,141,512,0,386
43,0,406,381,512,0,34
43,1,254,189,512,0,218
43,2,223,317,512,0,324
43,3,4,260,512,0,111
43,4,253,303,512,0,467
43,5,399,197,512,0,422
43,6,390,56,512,0,268
43,7,465,300,512,0,237
44,0,473,14,512,0,483
44,1,479,0,512,0,54
44,2,296,460,512,0,505
44,3,193,113,512,0,28
44,4,509,386,512,0,44
44,5,63,285,512,0,145
44,6,336,398,512,0,21
44,7,300,79,512,0,78
45,0,250,344,512,0,2
45,1,15,107,512,0,323
45,2,458,420,512,0,504
45,3,225,60,512,0,150
45,4,236,479,512,0,351
45,5,41,443,512,0,368
45,6,9,54,512,0,251
45,7,455,105,512,0,55
46,0,395,478,512,0,442
46,1,214,199,512,0,198
46,2,0,46,512,0,16
46,3,277,275,512,0,325
46,4,291,167,512,0,323
46,5,329,461,512,0,329
46,6,71,115,512,0,86
46,7,9,273,512,0,437
47,0,74,110,512,0,486
47,1,185,36,512,0,24
47,2,198,356,512,0,484
47,3,339,154,512,0,113
47,4,383,3,512,0,100
