step,loss,lr,train_tokens
0,6.3730058670043945,2.9999999999999997e-06,528
100,6.403744220733643,0.0003,53328
200,6.329338550567627,0.0002909538931178862,106128
300,6.282060623168945,0.00026490666646784665,158928
400,6.2467546463012695,0.000225,211728
500,6.229479789733887,0.00017604722665003956,264528
600,6.2001190185546875,0.00012395277334996044,317328
700,6.179971218109131,7.500000000000002e-05,370128
800,6.1645588874816895,3.509333353215331e-05,422928
900,6.169332981109619,9.046106882113751e-06,475728
999,6.177995681762695,9.138513314410623e-10,528000
