episode,k1,k2,v,pred1,pred2,correct
0,7,48,13,48,48,0
1,37,41,61,41,41,0
2,47,56,45,56,45,1
3,41,34,21,34,34,0
4,50,60,41,60,50,0
5,62,6,27,6,27,1
6,44,29,42,29,29,0
7,13,14,19,14,14,0
8,58,45,42,45,45,0
9,57,49,29,49,49,0
10,56,37,60,37,37,0
11,8,54,16,54,54,0
12,28,48,60,48,48,0
13,7,41,8,41,8,1
14,22,23,48,23,48,1
15,11,1,62,1,1,0
16,45,42,25,42,25,1
17,53,51,1,1,51,0
18,62,26,61,26,61,1
19,3,54,59,54,54,0
20,27,34,7,34,34,0
21,40,17,4,17,4,1
22,35,10,21,10,10,0
23,10,34,20,34,34,0
24,50,63,47,47,50,0
25,42,10,28,10,10,0
26,27,26,24,26,24,1
27,33,16,58,16,58,1
28,47,17,6,17,6,1
29,16,35,52,35,52,1
30,25,29,41,29,29,0
31,57,22,40,22,22,0
32,33,48,38,48,48,0
33,53,28,42,28,42,1
34,29,19,16,19,29,0
35,18,7,50,7,50,1
36,16,37,28,37,37,0
37,41,56,45,56,45,1
38,15,41,8,41,8,1
39,38,18,53,18,18,0
40,46,14,31,14,14,0
41,57,15,13,15,15,0
42,2,60,23,60,23,1
43,45,6,56,6,56,1
44,10,11,12,11,11,0
45,8,37,40,37,37,0
46,41,54,48,54,48,1
47,29,12,24,24,12,0
48,25,41,57,41,41,0
49,10,35,53,35,53,1
50,52,26,56,26,56,1
51,47,15,50,15,15,0
52,51,2,56,2,56,1
53,12,32,47,32,32,0
54,32,57,47,57,47,1
55,36,22,17,22,22,0
56,19,4,43,4,25,0
57,22,50,58,50,50,0
58,46,53,6,53,46,0
59,34,28,59,28,59,1
60,52,31,62,31,31,0
61,62,26,12,26,26,0
62,11,29,54,29,29,0
63,16,54,20,54,54,0
64,29,12,3,12,3,1
65,37,31,57,31,57,1
66,21,43,33,43,33,1
67,39,33,31,33,31,1
68,12,38,23,38,23,1
69,27,50,26,50,50,0
70,30,58,62,58,58,0
71,31,57,62,57,62,1
72,31,30,60,30,30,0
73,53,10,7,10,10,0
74,53,14,31,14,31,1
75,42,3,51,3,3,0
76,6,60,10,60,10,1
77,15,24,47,24,24,0
78,33,43,16,43,16,1
79,49,14,27,14,14,0
80,61,8,54,8,8,0
81,43,46,13,46,46,0
82,21,20,31,20,31,1
83,26,18,17,18,17,1
84,44,31,29,31,29,1
85,15,3,27,3,3,0
86,60,36,16,36,16,1
87,52,19,5,19,5,1
88,55,26,28,26,26,0
89,28,20,31,20,31,1
90,59,53,12,53,46,0
91,24,9,13,9,9,0
92,1,4,17,4,17,1
93,23,3,47,3,3,0
94,45,0,55,0,55,1
95,58,6,45,6,58,0
96,23,28,17,17,28,0
97,8,24,23,24,24,0
98,61,43,20,43,20,1
99,20,2,29,2,29,1
100,32,46,24,46,24,1
101,6,39,4,39,39,0
102,59,17,54,17,54,1
103,56,58,15,58,15,1
104,13,27,41,27,41,1
105,55,58,27,58,58,0
106,47,14,25,14,25,1
107,3,42,5,42,5,1
108,25,48,4,48,48,0
109,7,45,29,45,45,0
110,31,47,33,47,47,0
111,36,54,7,54,54,0
112,21,40,9,40,40,0
113,19,20,9,20,19,0
114,43,23,0,23,23,0
115,42,62,34,62,34,1
116,34,63,27,63,27,1
117,21,34,0,34,0,1
118,25,10,60,10,10,0
119,34,0,14,0,0,0
120,32,5,3,3,5,0
121,14,58,63,58,58,0
122,2,14,4,14,14,0
123,27,49,55,49,55,1
124,25,27,36,27,36,1
125,50,4,53,4,50,0
126,21,4,53,4,53,1
127,15,3,35,3,3,0
128,51,39,44,39,39,0
129,42,39,27,39,27,1
130,29,15,55,15,15,0
131,33,8,0,8,8,0
132,6,38,9,38,38,0
133,28,35,59,35,59,1
134,43,32,0,32,32,0
135,18,57,40,57,40,1
136,58,5,51,51,5,0
137,59,42,53,42,53,1
138,6,33,35,33,35,1
139,7,56,16,56,16,1
140,12,14,37,14,37,1
141,33,45,48,45,48,1
142,57,38,24,38,24,1
143,36,49,61,49,49,0
144,22,4,40,4,40,1
145,47,49,20,49,49,0
146,17,45,46,45,45,0
147,34,36,63,36,46,0
148,12,51,18,51,18,1
149,19,25,53,25,25,0
150,16,1,22,1,22,1
151,18,58,42,58,58,0
152,21,45,39,45,39,1
153,17,1,12,1,1,0
154,31,24,37,24,24,0
155,60,49,27,49,49,0
156,38,62,12,62,12,1
157,39,19,10,19,22,0
158,36,3,60,3,3,0
159,27,8,53,8,8,0
160,63,18,27,18,27,1
161,61,43,2,2,43,0
162,21,31,41,31,41,1
163,29,21,5,21,5,1
164,7,39,2,39,39,0
165,35,30,28,30,30,0
166,5,53,60,53,46,0
167,14,28,2,28,2,1
168,48,44,63,44,46,0
169,43,55,6,55,55,0
170,40,10,51,10,10,0
171,39,26,24,26,24,1
172,41,63,29,63,29,1
173,35,32,40,32,32,0
174,10,23,29,23,23,0
175,61,52,23,23,52,0
176,27,20,30,20,30,1
177,4,48,21,48,48,0
178,2,36,52,36,52,1
179,52,47,0,47,47,0
180,0,32,63,32,32,0
181,46,32,57,32,32,0
