episode,k1,k2,v,pred1,pred2,correct
0,11,43,9,43,43,0
1,12,3,23,23,12,0
2,7,43,4,43,43,0
3,60,32,3,32,32,0
4,56,37,62,37,37,0
5,61,46,34,46,46,0
6,24,21,6,21,21,0
7,7,20,28,28,20,0
8,25,18,54,18,18,0
9,6,46,13,46,46,0
10,53,47,58,47,47,0
11,34,25,28,25,25,0
12,40,45,5,45,45,0
13,61,51,45,51,45,1
14,55,3,48,48,55,0
15,37,55,33,55,55,0
16,30,3,38,38,30,0
17,5,6,20,6,6,0
18,63,37,61,37,37,0
19,8,26,15,26,26,0
20,36,48,28,48,48,0
21,48,37,43,37,43,1
22,30,61,44,61,30,0
23,57,3,59,59,57,0
24,9,56,12,56,9,0
25,52,40,32,40,40,0
26,49,12,17,12,12,0
27,49,6,47,6,49,0
28,59,29,56,29,29,0
29,48,14,4,14,48,0
30,25,23,60,23,60,1
31,18,20,57,57,18,0
32,26,43,4,43,26,0
33,51,26,23,26,26,0
34,38,26,33,26,26,0
35,3,14,58,14,14,0
36,21,8,3,8,8,0
37,27,29,19,29,29,0
38,56,8,0,8,8,0
39,42,47,57,47,47,0
40,58,0,10,0,0,0
41,20,15,32,15,15,0
42,9,37,2,37,37,0
43,36,52,3,52,36,0
44,9,46,37,46,46,0
45,10,29,38,29,29,0
46,45,51,34,51,45,0
47,46,49,52,49,49,0
48,58,14,17,14,14,0
49,1,16,59,16,16,0
50,4,49,52,49,49,0
51,52,13,27,13,13,0
52,7,59,14,59,14,1
53,39,63,11,63,63,0
54,11,14,50,14,14,0
55,12,62,53,62,62,0
56,58,9,7,9,9,0
57,36,38,21,38,38,0
58,12,17,19,17,17,0
59,38,34,0,34,0,1
60,59,5,41,5,5,0
61,20,22,40,22,22,0
62,27,17,36,17,17,0
63,3,7,26,7,26,1
64,4,25,34,25,34,1
65,5,28,61,28,5,0
66,61,38,18,38,38,0
67,55,35,2,35,35,0
68,50,42,33,42,50,0
69,13,33,26,33,13,0
70,39,26,48,26,26,0
71,60,39,54,39,39,0
72,42,62,31,62,31,1
73,39,22,52,22,22,0
74,60,16,39,16,16,0
75,26,39,36,39,39,0
76,11,13,37,13,13,0
77,29,49,59,49,49,0
78,55,41,8,41,8,1
79,14,63,45,63,14,0
80,28,14,17,14,14,0
81,54,36,28,36,36,0
82,61,58,62,58,62,1
83,40,21,58,21,58,1
84,11,2,25,2,2,0
85,28,36,26,36,28,0
86,40,48,1,48,48,0
87,59,21,18,21,18,1
88,59,17,22,17,22,1
89,56,11,59,11,56,0
90,62,34,33,34,34,0
91,55,20,62,20,62,1
92,62,59,40,59,62,0
93,45,43,36,43,45,0
94,59,0,25,0,0,0
95,23,29,31,29,31,1
96,35,13,24,13,13,0
97,49,56,58,58,49,0
98,52,53,44,53,53,0
99,1,57,21,57,57,0
100,22,47,31,47,47,0
101,45,21,24,21,45,0
102,37,49,2,49,49,0
103,47,40,6,40,6,1
104,62,21,0,21,0,1
105,52,44,21,44,44,0
106,14,8,39,8,8,0
107,21,16,5,16,16,0
108,31,2,19,2,31,0
109,5,1,41,1,5,0
110,41,43,12,43,12,1
111,51,62,12,62,51,0
112,4,20,39,39,4,0
113,39,16,7,16,16,0
114,44,58,12,58,58,0
115,3,56,33,33,56,0
116,39,57,33,57,39,0
117,46,16,25,16,46,0
118,53,57,8,57,57,0
119,0,49,6,49,49,0
120,4,13,7,13,13,0
121,21,28,44,28,28,0
122,18,6,32,6,6,0
123,23,59,56,59,59,0
124,31,5,59,5,5,0
125,13,51,63,51,13,0
126,26,51,40,51,51,0
127,8,2,5,2,2,0
128,50,62,19,62,62,0
129,59,26,23,26,26,0
130,33,31,30,31,30,1
131,62,30,48,30,30,0
