episode,gap,a,b,pred,correct
0,16,49,26,64,0
1,16,38,54,64,0
2,16,40,21,64,0
3,16,21,41,64,0
4,16,58,34,64,0
5,16,41,12,64,0
6,16,50,49,64,0
7,16,35,18,64,0
8,16,18,52,64,0
9,16,26,45,64,0
10,16,51,50,64,0
11,16,59,0,64,0
12,16,49,28,64,0
13,16,59,44,64,0
14,16,44,11,64,0
15,16,60,13,64,0
16,16,59,24,64,0
17,16,3,25,64,0
18,16,43,62,64,0
19,16,22,52,64,0
20,16,31,54,64,0
21,16,17,3,64,0
22,16,8,33,64,0
23,16,37,33,64,0
24,16,15,10,64,0
25,16,36,44,64,0
26,16,1,5,64,0
27,16,43,34,64,0
28,16,9,5,64,0
29,16,54,34,64,0
30,16,39,24,64,0
31,16,57,25,64,0
32,16,60,55,64,0
33,16,18,51,64,0
34,16,45,0,64,0
35,16,16,11,64,0
36,16,57,49,64,0
37,16,11,15,64,0
38,16,12,14,64,0
39,16,41,24,64,0
40,16,3,31,64,0
41,16,24,63,64,0
42,16,43,0,64,0
43,16,57,23,64,0
44,16,23,31,64,0
45,16,28,6,64,0
46,16,4,30,64,0
47,16,40,22,64,0
48,16,44,8,64,0
49,16,41,8,64,0
50,16,60,10,64,0
51,16,31,24,64,0
52,16,7,16,64,0
53,16,4,24,64,0
54,16,58,21,64,0
55,16,40,27,64,0
56,16,16,52,64,0
57,16,49,45,64,0
58,16,23,1,64,0
59,16,27,42,64,0
60,16,36,28,64,0
61,16,57,37,64,0
62,16,46,50,64,0
63,16,16,30,64,0
64,16,16,57,64,0
65,16,28,24,64,0
66,16,3,47,64,0
67,16,35,63,64,0
68,16,5,13,64,0
69,16,37,9,64,0
70,16,1,14,64,0
71,16,27,4,64,0
72,16,38,60,64,0
73,16,44,49,64,0
74,16,30,35,64,0
75,16,44,14,64,0
76,16,12,29,64,0
77,16,27,31,64,0
78,16,63,42,64,0
79,16,32,56,64,0
80,16,19,40,64,0
81,16,1,38,64,0
82,16,42,18,64,0
83,16,8,42,64,0
84,16,15,35,64,0
85,16,11,19,64,0
86,16,5,13,64,0
87,16,42,63,64,0
88,16,59,1,64,0
89,16,34,10,64,0
90,16,51,17,64,0
91,16,49,15,64,0
92,16,30,58,64,0
93,16,62,36,64,0
94,16,11,47,64,0
95,16,59,7,64,0
96,16,39,7,64,0
97,16,63,32,64,0
98,16,35,43,64,0
99,16,16,19,64,0
100,16,55,19,64,0
101,16,40,18,64,0
102,16,56,32,64,0
103,16,52,43,64,0
104,16,9,17,64,0
105,16,26,16,64,0
106,16,61,32,64,0
107,16,45,50,64,0
108,16,40,63,64,0
109,16,3,38,64,0
110,16,9,37,64,0
111,16,8,46,64,0
112,16,36,47,64,0
113,16,51,23,64,0
114,16,12,59,64,0
115,16,6,21,64,0
116,16,39,26,64,0
117,16,44,16,64,0
118,16,29,23,64,0
119,16,30,10,64,0
120,16,6,20,64,0
121,16,60,4,64,0
122,16,44,43,64,0
123,16,44,0,64,0
124,16,15,63,64,0
125,16,18,59,64,0
126,16,48,25,64,0
127,16,14,35,64,0
128,16,6,50,64,0
129,16,27,3,64,0
130,16,60,9,64,0
131,16,58,22,64,0
132,16,30,1,64,0
133,16,7,13,64,0
134,16,52,63,64,0
135,16,47,50,64,0
136,16,7,19,64,0
137,16,62,51,64,0
138,16,45,57,64,0
139,16,25,21,64,0
140,16,54,37,64,0
141,16,16,21,64,0
142,16,58,59,64,0
143,16,58,47,64,0
144,16,41,48,64,0
145,16,13,27,64,0
146,16,36,50,64,0
147,16,18,13,64,0
148,16,15,43,64,0
149,16,58,43,64,0
150,16,26,58,64,0
151,16,29,11,64,0
152,16,1,35,64,0
153,16,17,1,64,0
154,16,49,18,64,0
155,16,42,39,64,0
156,16,8,31,64,0
157,16,50,3,64,0
158,16,27,32,64,0
159,16,43,5,64,0
160,16,11,46,64,0
161,16,40,11,64,0
162,16,35,61,64,0
163,16,48,49,64,0
164,16,21,35,64,0
165,16,36,19,64,0
166,16,14,36,64,0
167,16,49,14,64,0
168,16,47,55,64,0
169,16,23,42,64,0
170,16,48,14,64,0
171,16,41,1,64,0
172,16,44,42,64,0
173,16,12,56,64,0
174,16,15,46,64,0
175,16,43,38,64,0
176,16,9,5,64,0
177,16,31,47,64,0
178,16,12,31,64,0
179,16,32,9,64,0
180,16,13,5,64,0
181,16,36,28,64,0
182,16,46,13,64,0
183,16,16,30,64,0
184,16,17,25,64,0
185,16,5,35,64,0
186,16,13,60,64,0
187,16,45,34,64,0
188,16,0,58,64,0
189,16,13,2,64,0
190,16,50,33,64,0
191,16,40,58,64,0
192,16,5,0,64,0
193,16,61,34,64,0
194,16,16,34,64,0
195,16,51,53,64,0
196,16,45,54,64,0
197,16,10,13,64,0
198,16,8,60,64,0
199,16,22,5,64,0
