episode,gap,a,b,pred,correct
0,16,28,18,64,0
1,16,8,62,64,0
2,16,61,49,64,0
3,16,63,2,64,0
4,16,15,50,64,0
5,16,3,35,64,0
6,16,55,37,64,0
7,16,16,26,64,0
8,16,53,37,64,0
9,16,5,15,64,0
10,16,4,51,64,0
11,16,57,29,64,0
12,16,61,33,64,0
13,16,21,26,64,0
14,16,56,55,64,0
15,16,56,31,64,0
16,16,61,4,64,0
17,16,63,23,64,0
18,16,34,51,64,0
19,16,9,32,64,0
20,16,20,22,64,0
21,16,40,36,64,0
22,16,29,53,64,0
23,16,44,43,64,0
24,16,21,6,64,0
25,16,59,40,64,0
26,16,55,50,64,0
27,16,47,24,64,0
28,16,61,9,64,0
29,16,41,22,64,0
30,16,45,33,64,0
31,16,62,3,64,0
32,16,0,17,64,0
33,16,18,56,64,0
34,16,43,0,64,0
35,16,3,60,64,0
36,16,38,6,64,0
37,16,52,27,64,0
38,16,35,54,64,0
39,16,14,4,64,0
40,16,28,44,64,0
41,16,5,14,64,0
42,16,7,21,64,0
43,16,26,19,64,0
44,16,3,57,64,0
45,16,59,29,64,0
46,16,55,21,64,0
47,16,14,35,64,0
48,16,52,56,64,0
49,16,41,16,64,0
50,16,6,13,64,0
51,16,44,31,64,0
52,16,1,24,64,0
53,16,47,17,64,0
54,16,34,47,64,0
55,16,7,44,64,0
56,16,43,6,64,0
57,16,8,19,64,0
58,16,49,38,64,0
59,16,17,31,64,0
60,16,22,35,64,0
61,16,28,29,64,0
62,16,63,45,64,0
63,16,3,14,64,0
64,16,30,57,64,0
65,16,44,1,64,0
66,16,36,39,64,0
67,16,0,33,64,0
68,16,57,34,64,0
69,16,16,63,64,0
70,16,55,48,64,0
71,16,44,13,64,0
72,16,62,5,64,0
73,16,21,23,64,0
74,16,50,22,64,0
75,16,49,6,64,0
76,16,43,40,64,0
77,16,0,13,64,0
78,16,3,25,64,0
79,16,25,54,64,0
80,16,7,0,64,0
81,16,1,17,64,0
82,16,21,56,64,0
83,16,36,29,64,0
84,16,38,29,64,0
85,16,16,0,64,0
86,16,54,58,64,0
87,16,39,21,64,0
88,16,43,50,64,0
89,16,6,34,64,0
90,16,6,57,64,0
91,16,63,57,64,0
92,16,7,27,64,0
93,16,56,63,64,0
94,16,3,15,64,0
95,16,38,47,64,0
96,16,50,16,64,0
97,16,2,15,64,0
98,16,21,60,64,0
99,16,9,5,64,0
100,16,4,49,64,0
101,16,59,35,64,0
102,16,38,3,64,0
103,16,55,60,64,0
104,16,43,20,64,0
105,16,27,7,64,0
106,16,22,35,64,0
107,16,52,3,64,0
108,16,1,40,64,0
109,16,33,51,64,0
110,16,16,38,64,0
111,16,47,37,64,0
112,16,42,16,64,0
113,16,45,51,64,0
114,16,45,14,64,0
115,16,13,34,64,0
116,16,35,24,64,0
117,16,63,14,64,0
118,16,63,60,64,0
119,16,19,4,64,0
120,16,60,21,64,0
121,16,25,50,64,0
122,16,1,51,64,0
123,16,13,10,64,0
124,16,11,50,64,0
125,16,20,4,64,0
126,16,53,40,64,0
127,16,29,14,64,0
128,16,56,10,64,0
129,16,34,14,64,0
130,16,16,31,64,0
131,16,42,48,64,0
132,16,49,58,64,0
133,16,57,41,64,0
134,16,5,1,64,0
135,16,18,56,64,0
136,16,31,29,64,0
137,16,59,35,64,0
138,16,46,37,64,0
139,16,30,62,64,0
140,16,7,63,64,0
141,16,39,27,64,0
142,16,15,19,64,0
143,16,63,57,64,0
144,16,30,24,64,0
145,16,56,19,64,0
146,16,15,9,64,0
147,16,8,49,64,0
148,16,36,14,64,0
149,16,24,20,64,0
150,16,62,43,64,0
151,16,29,46,64,0
152,16,23,40,64,0
153,16,3,44,64,0
154,16,46,44,64,0
155,16,2,44,64,0
156,16,27,57,64,0
157,16,22,17,64,0
158,16,22,16,64,0
159,16,42,56,64,0
160,16,36,8,64,0
161,16,30,2,64,0
162,16,11,20,64,0
163,16,49,11,64,0
164,16,53,46,64,0
165,16,58,27,64,0
166,16,30,28,64,0
167,16,62,32,64,0
168,16,18,21,64,0
169,16,27,59,64,0
170,16,25,1,64,0
171,16,7,47,64,0
172,16,25,59,64,0
173,16,54,6,64,0
174,16,8,29,64,0
175,16,57,2,64,0
176,16,40,3,64,0
177,16,58,18,64,0
178,16,38,34,64,0
179,16,30,42,64,0
180,16,16,38,64,0
181,16,14,17,64,0
182,16,59,45,64,0
183,16,30,27,64,0
184,16,5,30,64,0
185,16,34,41,64,0
186,16,3,50,64,0
187,16,21,40,64,0
188,16,63,9,64,0
189,16,31,43,64,0
190,16,59,16,64,0
191,16,62,29,64,0
192,16,12,21,64,0
193,16,55,12,64,0
194,16,5,21,64,0
195,16,16,5,64,0
196,16,0,1,64,0
197,16,49,41,64,0
198,16,23,12,64,0
199,16,41,54,64,0
