episode,gap,a,b,pred,correct
0,16,46,42,64,0
1,16,43,20,64,0
2,16,13,17,64,0
3,16,54,4,64,0
4,16,31,1,64,0
5,16,52,50,64,0
6,16,52,53,64,0
7,16,16,1,64,0
8,16,0,55,64,0
9,16,29,3,64,0
10,16,41,60,64,0
11,16,15,41,64,0
12,16,5,50,64,0
13,16,18,30,64,0
14,16,29,57,64,0
15,16,31,13,64,0
16,16,53,11,64,0
17,16,38,13,64,0
18,16,45,50,64,0
19,16,39,30,64,0
20,16,24,45,64,0
21,16,62,28,64,0
22,16,23,2,64,0
23,16,52,45,64,0
24,16,24,59,64,0
25,16,43,40,64,0
26,16,47,43,64,0
27,16,22,48,64,0
28,16,7,1,64,0
29,16,0,43,64,0
30,16,48,59,64,0
31,16,15,18,64,0
32,16,22,3,64,0
33,16,25,3,64,0
34,16,24,32,64,0
35,16,54,13,64,0
36,16,53,37,64,0
37,16,62,6,64,0
38,16,47,28,64,0
39,16,39,22,64,0
40,16,27,61,64,0
41,16,38,45,64,0
42,16,17,23,64,0
43,16,7,41,64,0
44,16,19,61,64,0
45,16,50,41,64,0
46,16,4,50,64,0
47,16,7,28,64,0
48,16,35,45,64,0
49,16,62,19,64,0
50,16,7,50,64,0
51,16,63,3,64,0
52,16,2,26,64,0
53,16,9,15,64,0
54,16,51,30,64,0
55,16,1,42,64,0
56,16,38,43,64,0
57,16,54,1,64,0
58,16,4,39,64,0
59,16,10,15,64,0
60,16,4,32,64,0
61,16,4,8,64,0
62,16,53,25,64,0
63,16,51,16,64,0
64,16,15,5,64,0
65,16,27,8,64,0
66,16,7,47,64,0
67,16,11,57,64,0
68,16,30,12,64,0
69,16,58,11,64,0
70,16,24,39,64,0
71,16,36,44,64,0
72,16,36,50,64,0
73,16,13,60,64,0
74,16,51,12,64,0
75,16,18,14,64,0
76,16,6,55,64,0
77,16,40,20,64,0
78,16,49,8,64,0
79,16,58,7,64,0
80,16,49,10,64,0
81,16,4,34,64,0
82,16,51,56,64,0
83,16,38,63,64,0
84,16,6,19,64,0
85,16,11,54,64,0
86,16,16,62,64,0
87,16,10,61,64,0
88,16,17,1,64,0
89,16,21,4,64,0
90,16,43,16,64,0
91,16,11,58,64,0
92,16,22,24,64,0
93,16,30,60,64,0
94,16,11,49,64,0
95,16,1,30,64,0
96,16,59,48,64,0
97,16,9,52,64,0
98,16,46,34,64,0
99,16,48,20,64,0
100,16,38,15,64,0
101,16,16,61,64,0
102,16,16,32,64,0
103,16,51,13,64,0
104,16,45,52,64,0
105,16,50,24,64,0
106,16,57,17,64,0
107,16,18,12,64,0
108,16,43,54,64,0
109,16,18,6,64,0
110,16,12,56,64,0
111,16,35,27,64,0
112,16,13,52,64,0
113,16,14,54,64,0
114,16,4,9,64,0
115,16,50,49,64,0
116,16,22,29,64,0
117,16,38,25,64,0
118,16,14,40,64,0
119,16,20,9,64,0
120,16,23,1,64,0
121,16,39,63,64,0
122,16,38,4,64,0
123,16,59,61,64,0
124,16,40,8,64,0
125,16,20,8,64,0
126,16,21,61,64,0
127,16,59,32,64,0
128,16,43,5,64,0
129,16,41,24,64,0
130,16,34,57,64,0
131,16,32,38,64,0
132,16,27,25,64,0
133,16,62,54,64,0
134,16,24,17,64,0
135,16,36,37,64,0
136,16,35,9,64,0
137,16,59,4,64,0
138,16,21,51,64,0
139,16,54,31,64,0
140,16,57,58,64,0
141,16,10,49,64,0
142,16,35,31,64,0
143,16,24,2,64,0
144,16,10,35,64,0
145,16,33,62,64,0
146,16,17,12,64,0
147,16,21,31,64,0
148,16,54,37,64,0
149,16,12,49,64,0
150,16,17,33,64,0
151,16,62,57,64,0
152,16,23,52,64,0
153,16,1,51,64,0
154,16,0,32,64,0
155,16,37,3,64,0
156,16,22,30,64,0
157,16,6,16,64,0
158,16,30,26,64,0
159,16,20,7,64,0
160,16,2,5,64,0
161,16,18,33,64,0
162,16,9,58,64,0
163,16,12,14,64,0
164,16,46,2,64,0
165,16,49,27,64,0
166,16,61,33,64,0
167,16,60,2,64,0
168,16,20,15,64,0
169,16,7,6,64,0
170,16,17,55,64,0
171,16,53,30,64,0
172,16,63,15,64,0
173,16,3,58,64,0
174,16,5,10,64,0
175,16,55,25,64,0
176,16,43,0,64,0
177,16,50,26,64,0
178,16,59,31,64,0
179,16,58,7,64,0
180,16,37,40,64,0
181,16,18,60,64,0
182,16,1,8,64,0
183,16,33,12,64,0
184,16,10,11,64,0
185,16,23,30,64,0
186,16,57,41,64,0
187,16,46,49,64,0
188,16,46,41,64,0
189,16,33,37,64,0
190,16,35,56,64,0
191,16,7,45,64,0
192,16,11,53,64,0
193,16,44,42,64,0
194,16,52,3,64,0
195,16,4,10,64,0
196,16,24,9,64,0
197,16,8,0,64,0
198,16,47,1,64,0
199,16,54,16,64,0
