episode,query_idx,key,value,pred,correct,rank
0,0,60,41,26,0,9
0,1,1,15,62,0,52
0,2,34,50,64,0,27
0,3,43,44,64,0,7
0,4,12,1,64,0,37
0,5,58,22,64,0,8
0,6,26,47,64,0,24
0,7,54,43,64,0,23
0,8,17,61,64,0,13
0,9,62,45,16,0,12
0,10,36,48,16,0,21
0,11,57,9,62,0,2
0,12,7,5,9,0,8
0,13,16,22,20,0,41
0,14,49,62,62,1,1
0,15,44,20,9,0,2
1,0,3,45,12,0,16
1,1,4,51,34,0,8
1,2,51,12,34,0,2
1,3,48,23,34,0,24
1,4,50,43,34,0,17
1,5,15,55,34,0,20
1,6,56,38,34,0,5
1,7,47,13,34,0,27
1,8,60,34,34,1,1
1,9,14,12,5,0,6
1,10,49,6,34,0,8
1,11,45,25,5,0,20
1,12,34,39,35,0,42
1,13,35,7,3,0,2
1,14,0,34,12,0,14
1,15,5,7,12,0,63
2,0,27,16,13,0,44
2,1,43,10,34,0,5
2,2,12,39,34,0,7
2,3,34,24,64,0,24
2,4,18,59,64,0,7
2,5,39,11,64,0,25
2,6,13,3,64,0,9
2,7,44,6,64,0,4
2,8,35,34,64,0,2
2,9,45,50,64,0,46
2,10,40,5,64,0,9
2,11,10,25,64,0,32
2,12,3,39,64,0,26
2,13,22,19,12,0,10
2,14,56,13,12,0,5
2,15,47,28,12,0,2
3,0,39,13,14,0,9
3,1,2,58,14,0,10
3,2,11,48,14,0,14
3,3,19,55,55,1,1
3,4,43,36,14,0,13
3,5,14,53,44,0,27
3,6,32,13,44,0,16
3,7,55,33,16,0,7
3,8,58,8,41,0,32
3,9,41,14,16,0,7
3,10,16,44,45,0,2
3,11,3,10,45,0,10
3,12,36,45,45,1,1
3,13,48,63,5,0,18
3,14,18,5,5,1,1
3,15,7,52,41,0,2
4,0,56,26,14,0,20
4,1,18,49,14,0,12
4,2,42,0,14,0,3
4,3,24,52,14,0,22
4,4,23,25,14,0,4
4,5,41,14,5,0,5
4,6,38,48,5,0,18
4,7,59,52,4,0,8
4,8,48,57,17,0,6
4,9,4,41,17,0,10
4,10,21,30,64,0,31
4,11,55,43,64,0,24
4,12,17,52,64,0,23
4,13,57,22,64,0,7
4,14,0,5,64,0,4
4,15,61,42,49,0,38
5,0,29,35,23,0,21
5,1,36,16,38,0,10
5,2,39,47,38,0,15
5,3,13,23,38,0,4
5,4,53,9,38,0,11
5,5,11,57,28,0,5
5,6,6,23,28,0,19
5,7,54,9,28,0,22
5,8,26,54,28,0,14
5,9,2,28,38,0,2
5,10,1,59,38,0,26
5,11,23,63,63,1,1
5,12,38,17,61,0,4
5,13,63,39,39,1,1
5,14,61,56,28,0,3
5,15,24,39,28,0,5
6,0,41,51,28,0,27
6,1,38,4,2,0,8
6,2,6,3,28,0,7
6,3,19,14,28,0,15
6,4,3,44,28,0,3
6,5,29,16,28,0,8
6,6,9,24,24,1,1
6,7,32,52,12,0,8
6,8,8,61,28,0,10
6,9,44,12,28,0,2
6,10,24,56,28,0,11
6,11,2,4,28,0,41
6,12,40,2,28,0,9
6,13,62,14,28,0,3
6,14,10,13,28,0,3
6,15,39,28,28,1,1
7,0,61,27,40,0,27
7,1,7,23,60,0,22
7,2,42,60,60,1,1
7,3,31,59,40,0,15
7,4,60,15,40,0,46
7,5,54,19,61,0,11
7,6,45,36,61,0,10
7,7,13,9,61,0,23
7,8,20,25,61,0,5
7,9,40,61,61,1,1
7,10,52,19,61,0,24
7,11,39,26,61,0,3
7,12,62,61,31,0,2
7,13,6,29,31,0,18
7,14,30,31,31,1,1
7,15,14,49,62,0,3
8,0,10,55,49,0,5
8,1,17,55,49,0,16
8,2,32,62,49,0,6
8,3,41,43,49,0,27
8,4,0,49,49,1,1
8,5,30,56,49,0,25
8,6,8,44,12,0,10
8,7,38,58,12,0,14
8,8,18,25,12,0,5
8,9,45,0,12,0,10
8,10,6,10,12,0,31
8,11,49,17,12,0,16
8,12,7,50,12,0,45
8,13,24,15,15,1,1
8,14,1,26,9,0,17
8,15,9,12,6,0,2
9,0,40,48,33,0,6
9,1,46,33,33,1,1
9,2,24,21,32,0,12
9,3,20,0,32,0,10
9,4,32,48,16,0,16
9,5,52,54,60,0,7
9,6,26,9,28,0,11
9,7,28,8,60,0,6
9,8,42,60,60,1,1
9,9,18,37,44,0,3
9,10,33,16,44,0,12
9,11,45,57,3,0,7
9,12,48,46,3,0,48
9,13,44,49,3,0,2
9,14,59,32,3,0,4
9,15,39,3,3,1,1
10,0,15,26,64,0,4
10,1,45,52,64,0,7
10,2,1,2,64,0,8
10,3,31,53,64,0,23
10,4,7,5,64,0,17
10,5,4,47,64,0,8
10,6,43,33,64,0,3
10,7,34,26,64,0,41
10,8,51,42,64,0,18
10,9,13,19,40,0,16
10,10,55,62,64,0,11
10,11,48,37,40,0,4
10,12,40,22,36,0,9
10,13,36,61,40,0,6
10,14,5,40,40,1,1
10,15,11,39,62,0,16
11,0,14,16,54,0,31
11,1,28,36,54,0,8
11,2,2,47,54,0,17
11,3,25,43,54,0,4
11,4,40,36,54,0,40
11,5,36,15,54,0,33
11,6,34,32,54,0,12
11,7,13,54,54,1,1
11,8,23,42,19,0,9
11,9,54,41,19,0,4
11,10,18,30,64,0,33
11,11,37,10,19,0,12
11,12,19,40,27,0,15
11,13,55,63,27,0,3
11,14,46,54,17,0,17
11,15,27,17,17,1,1
12,0,46,38,34,0,9
12,1,43,36,34,0,9
12,2,26,19,34,0,2
12,3,52,35,34,0,4
12,4,5,36,34,0,30
12,5,8,58,34,0,15
12,6,44,34,48,0,2
12,7,30,48,48,1,1
12,8,34,48,60,0,11
12,9,48,39,60,0,10
12,10,60,26,17,0,4
12,11,56,19,17,0,18
12,12,0,25,17,0,41
12,13,37,36,17,0,45
12,14,47,17,17,1,1
12,15,14,30,17,0,25
13,0,16,9,28,0,4
13,1,49,18,28,0,8
13,2,42,50,28,0,14
13,3,3,28,28,1,1
13,4,52,11,12,0,41
13,5,29,49,55,0,2
13,6,12,62,55,0,5
