episode,query_idx,key,value,pred,correct,rank
0,0,63,11,11,1,1
0,1,46,58,11,0,5
0,2,11,18,34,0,17
0,3,23,1,11,0,12
0,4,12,53,11,0,7
0,5,26,50,11,0,18
0,6,60,34,11,0,3
0,7,47,20,11,0,15
1,0,46,0,13,0,5
1,1,48,53,13,0,8
1,2,5,19,13,0,9
1,3,6,13,48,0,2
1,4,42,48,13,0,2
1,5,23,8,48,0,5
1,6,50,41,13,0,5
1,7,27,13,13,1,1
2,0,60,50,14,0,4
2,1,38,24,14,0,12
2,2,14,32,38,0,12
2,3,11,48,14,0,2
2,4,15,31,14,0,8
2,5,3,14,14,1,1
2,6,33,16,14,0,22
2,7,25,51,14,0,8
3,0,53,36,31,0,4
3,1,34,27,31,0,4
3,2,27,31,31,1,1
3,3,31,56,27,0,2
3,4,61,60,31,0,12
3,5,56,30,31,0,10
3,6,14,8,31,0,25
3,7,44,32,31,0,7
4,0,2,39,11,0,18
4,1,8,24,11,0,18
4,2,27,11,11,1,1
4,3,31,6,11,0,5
4,4,47,63,11,0,4
4,5,11,19,42,0,6
4,6,56,12,11,0,4
4,7,42,61,11,0,10
5,0,55,58,21,0,24
5,1,16,53,21,0,14
5,2,21,11,3,0,10
5,3,32,39,21,0,18
5,4,35,3,21,0,4
5,5,40,59,21,0,11
5,6,2,21,21,1,1
5,7,57,46,21,0,6
6,0,15,0,62,0,7
6,1,38,31,19,0,8
6,2,28,29,62,0,11
6,3,19,6,38,0,20
6,4,27,26,11,0,14
6,5,53,58,11,0,6
6,6,62,11,11,1,1
6,7,48,47,62,0,10
7,0,21,29,29,1,1
7,1,5,31,29,0,2
7,2,31,20,29,0,2
7,3,33,16,29,0,6
7,4,26,37,31,0,3
7,5,48,24,29,0,17
7,6,19,45,29,0,11
7,7,29,6,31,0,13
8,0,60,4,4,1,1
8,1,51,29,4,0,6
8,2,17,26,4,0,4
8,3,34,23,4,0,25
8,4,11,57,4,0,7
8,5,3,31,4,0,10
8,6,55,40,4,0,9
8,7,4,18,34,0,12
9,0,32,38,22,0,3
9,1,2,7,22,0,2
9,2,36,22,22,1,1
9,3,59,24,22,0,42
9,4,22,11,7,0,6
9,5,5,9,22,0,9
9,6,47,0,22,0,8
9,7,50,14,22,0,5
10,0,50,6,6,1,1
10,1,53,59,6,0,7
10,2,28,53,6,0,3
10,3,22,26,6,0,5
10,4,12,17,6,0,5
10,5,55,61,6,0,4
10,6,1,42,6,0,11
10,7,10,6,6,1,1
11,0,7,26,14,0,7
11,1,34,49,14,0,3
11,2,11,43,14,0,2
11,3,43,49,14,0,2
11,4,9,14,14,1,1
11,5,45,37,14,0,27
11,6,26,1,14,0,9
11,7,14,0,43,0,3
12,0,37,29,60,0,9
12,1,9,36,37,0,5
12,2,21,37,37,1,1
12,3,60,55,37,0,9
12,4,62,11,37,0,9
12,5,4,31,37,0,5
12,6,3,33,37,0,11
12,7,25,46,37,0,12
13,0,19,36,27,0,13
13,1,49,16,27,0,12
13,2,52,60,27,0,10
13,3,37,35,27,0,8
13,4,62,45,49,0,7
13,5,27,15,52,0,11
13,6,21,23,27,0,13
13,7,3,32,27,0,5
14,0,59,48,22,0,11
14,1,22,36,22,0,6
14,2,30,38,22,0,4
14,3,11,61,22,0,8
14,4,57,22,22,1,1
14,5,15,8,22,0,11
14,6,63,41,22,0,13
14,7,60,27,22,0,9
15,0,6,35,37,0,6
15,1,32,52,37,0,10
15,2,51,31,37,0,2
15,3,19,45,37,0,13
15,4,29,36,37,0,3
15,5,37,7,31,0,9
15,6,48,37,37,1,1
15,7,25,42,37,0,17
16,0,10,29,31,0,4
16,1,51,11,31,0,4
16,2,31,54,49,0,4
16,3,14,24,31,0,9
16,4,27,58,31,0,15
16,5,49,59,31,0,10
16,6,18,35,49,0,5
16,7,5,0,31,0,10
17,0,19,50,14,0,2
17,1,15,21,14,0,10
17,2,11,54,14,0,4
17,3,8,0,14,0,4
17,4,12,49,14,0,3
17,5,14,4,50,0,12
17,6,61,14,14,1,1
17,7,38,37,14,0,25
18,0,41,40,0,0,7
18,1,7,51,0,0,3
18,2,17,44,0,0,8
18,3,0,19,0,0,29
18,4,21,30,0,0,13
18,5,60,0,0,1,1
18,6,1,2,0,0,7
18,7,38,0,0,1,1
19,0,44,12,0,0,12
19,1,41,0,0,1,1
19,2,17,36,0,0,10
19,3,2,34,0,0,4
19,4,21,3,0,0,4
19,5,0,30,41,0,10
19,6,57,14,0,0,13
19,7,28,32,41,0,20
20,0,18,43,45,0,9
20,1,7,6,45,0,10
20,2,15,45,45,1,1
20,3,10,1,38,0,4
20,4,44,38,45,0,3
20,5,45,36,38,0,5
20,6,24,38,45,0,3
20,7,32,52,45,0,10
21,0,43,54,57,0,9
21,1,41,39,57,0,7
21,2,57,58,56,0,7
21,3,59,15,57,0,3
21,4,56,57,57,1,1
21,5,1,48,57,0,2
21,6,26,1,57,0,3
21,7,60,0,57,0,18
22,0,16,49,49,1,1
22,1,13,44,49,0,18
22,2,41,0,49,0,11
22,3,33,50,49,0,8
22,4,63,25,49,0,18
22,5,47,46,49,0,4
22,6,18,27,49,0,9
22,7,17,38,49,0,5
23,0,63,21,20,0,5
23,1,62,20,20,1,1
23,2,37,41,20,0,7
23,3,29,57,62,0,11
23,4,25,31,29,0,10
23,5,56,14,29,0,7
23,6,46,20,62,0,4
23,7,39,53,21,0,15
24,0,19,13,39,0,5
24,1,36,56,39,0,4
24,2,16,48,39,0,13
24,3,46,39,39,1,1
24,4,22,11,39,0,8
24,5,28,10,22,0,9
24,6,52,63,39,0,6
24,7,39,60,56,0,10
25,0,15,6,28,0,11
25,1,51,20,20,1,1
25,2,41,18,28,0,7
25,3,63,28,28,1,1
25,4,39,47,28,0,12
25,5,29,44,28,0,3
25,6,19,33,28,0,9
25,7,26,35,20,0,14
26,0,1,6,3,0,8
26,1,39,19,3,0,7
26,2,46,16,7,0,14
26,3,37,7,38,0,4
26,4,36,63,38,0,3
26,5,28,57,38,0,9
26,6,50,62,38,0,11
26,7,38,3,7,0,2
27,0,22,19,46,0,6
27,1,52,11,22,0,8
27,2,2,9,22,0,13
27,3,43,15,22,0,9
27,4,5,24,22,0,15
27,5,54,22,22,1,1
27,6,44,46,22,0,2
27,7,41,8,22,0,2
28,0,17,57,57,1,1
28,1,5,13,57,0,14
28,2,44,47,5,0,22
28,3,15,24,5,0,6
28,4,53,25,57,0,13
28,5,57,35,5,0,7
28,6,4,42,57,0,5
28,7,12,45,5,0,3
29,0,47,39,38,0,12
29,1,35,47,47,1,1
29,2,27,38,47,0,2
29,3,57,60,47,0,3
29,4,30,36,60,0,8
29,5,38,9,47,0,8
29,6,55,23,60,0,7
29,7,52,60,47,0,3
30,0,36,52,38,0,5
30,1,34,42,0,0,11
30,2,12,6,0,0,10
30,3,1,0,9,0,2
30,4,11,44,9,0,16
30,5,9,39,0,0,11
30,6,15,38,9,0,3
30,7,21,9,9,1,1
31,0,40,7,47,0,5
31,1,24,60,47,0,18
31,2,56,26,41,0,5
31,3,35,16,47,0,12
31,4,63,47,47,1,1
31,5,42,41,47,0,6
31,6,47,6,7,0,12
31,7,23,12,47,0,5
32,0,48,39,38,0,14
32,1,0,52,38,0,2
32,2,8,5,38,0,3
32,3,11,18,38,0,3
32,4,61,38,38,1,1
32,5,14,36,38,0,13
32,6,27,40,38,0,6
32,7,31,50,38,0,2
33,0,53,28,28,1,1
33,1,55,12,45,0,4
33,2,63,17,3,0,12
33,3,59,60,45,0,15
33,4,23,24,45,0,13
33,5,49,3,28,0,2
33,6,9,45,45,1,1
33,7,61,32,45,0,16
34,0,49,25,48,0,14
34,1,48,44,49,0,5
34,2,47,49,48,0,2
34,3,42,58,49,0,3
34,4,61,48,49,0,2
34,5,46,54,48,0,4
34,6,23,4,49,0,12
34,7,16,11,48,0,3
35,0,60,16,31,0,6
35,1,27,31,9,0,2
35,2,3,9,31,0,2
35,3,44,31,9,0,2
35,4,9,7,31,0,16
35,5,35,43,9,0,6
35,6,18,59,9,0,9
35,7,20,63,31,0,34
36,0,46,6,17,0,6
36,1,17,13,42,0,11
36,2,8,44,17,0,13
36,3,40,11,17,0,6
36,4,41,55,17,0,3
36,5,49,39,17,0,16
36,6,34,42,17,0,2
36,7,63,50,17,0,22
37,0,38,8,16,0,3
37,1,3,63,16,0,14
37,2,41,25,8,0,11
37,3,51,48,8,0,6
37,4,13,53,8,0,16
37,5,19,16,8,0,2
37,6,10,24,8,0,4
37,7,34,9,8,0,8
38,0,44,58,41,0,3
38,1,47,42,41,0,7
38,2,55,33,56,0,14
38,3,4,14,41,0,5
38,4,16,23,44,0,13
38,5,61,41,41,1,1
38,6,62,46,56,0,10
38,7,56,6,41,0,13
39,0,20,27,36,0,3
39,1,22,23,36,0,10
39,2,37,48,20,0,8
39,3,60,2,36,0,12
39,4,28,12,36,0,15
39,5,52,44,20,0,11
39,6,14,36,36,1,1
39,7,33,19,36,0,11
40,0,17,44,14,0,5
40,1,12,2,14,0,9
40,2,18,36,14,0,16
40,3,21,14,14,1,1
40,4,4,62,14,0,4
40,5,48,14,14,1,1
40,6,49,8,14,0,7
40,7,62,16,14,0,3
41,0,52,36,39,0,20
41,1,48,28,39,0,5
41,2,26,43,39,0,7
41,3,24,39,39,1,1
41,4,55,42,39,0,5
41,5,38,35,39,0,32
41,6,20,34,39,0,9
41,7,39,20,20,1,1
42,0,28,11,46,0,8
42,1,2,10,46,0,5
42,2,1,63,28,0,6
42,3,3,43,28,0,9
