episode,query_idx,key,value,pred,correct,rank
0,0,63,30,32,0,7
0,1,39,0,32,0,5
0,2,32,23,23,1,1
0,3,47,53,46,0,7
0,4,49,41,46,0,8
0,5,35,60,46,0,4
0,6,44,32,46,0,2
0,7,46,39,39,1,1
1,0,35,31,22,0,8
1,1,22,39,37,0,2
1,2,42,57,37,0,10
1,3,8,22,37,0,5
1,4,6,60,50,0,2
1,5,50,13,2,0,4
1,6,37,7,2,0,3
1,7,59,2,2,1,1
2,0,6,40,24,0,9
2,1,26,22,48,0,6
2,2,42,23,60,0,11
2,3,9,24,54,0,3
2,4,50,54,60,0,3
2,5,0,48,60,0,2
2,6,35,33,60,0,2
2,7,60,63,63,1,1
3,0,35,10,10,1,1
3,1,31,46,23,0,4
3,2,10,45,23,0,10
3,3,1,30,23,0,7
3,4,23,32,32,1,1
3,5,47,62,62,1,1
3,6,58,19,22,0,2
3,7,22,23,23,1,1
4,0,4,36,42,0,9
4,1,19,52,42,0,6
4,2,7,61,42,0,7
4,3,27,45,42,0,5
4,4,54,15,42,0,2
4,5,56,10,42,0,3
4,6,42,25,42,0,3
4,7,6,42,42,1,1
5,0,54,29,37,0,3
5,1,44,7,37,0,5
5,2,57,33,37,0,4
5,3,32,20,37,0,6
5,4,3,37,37,1,1
5,5,43,37,26,0,3
5,6,26,30,47,0,2
5,7,12,47,47,1,1
6,0,1,61,61,1,1
6,1,19,6,8,0,3
6,2,2,61,8,0,2
6,3,8,9,18,0,6
6,4,18,8,34,0,7
6,5,24,7,14,0,2
6,6,14,48,34,0,2
6,7,25,34,34,1,1
7,0,50,44,20,0,4
7,1,48,20,20,1,1
7,2,21,20,16,0,2
7,3,16,28,22,0,5
7,4,23,48,22,0,3
7,5,31,9,22,0,4
7,6,59,15,22,0,3
7,7,22,29,29,1,1
8,0,57,9,50,0,9
8,1,7,11,50,0,3
8,2,40,47,50,0,5
8,3,50,42,50,0,6
8,4,28,7,40,0,4
8,5,31,50,40,0,2
8,6,36,25,25,1,1
8,7,53,40,40,1,1
9,0,56,27,8,0,6
9,1,25,22,39,0,11
9,2,8,35,51,0,11
9,3,39,5,6,0,4
9,4,16,38,6,0,5
9,5,44,24,6,0,3
9,6,51,3,6,0,3
9,7,11,6,6,1,1
10,0,3,12,25,0,6
10,1,24,54,29,0,7
10,2,37,13,29,0,2
10,3,25,18,29,0,2
10,4,27,62,29,0,7
10,5,39,40,29,0,2
10,6,29,52,60,0,2
10,7,9,60,60,1,1
11,0,62,17,36,0,4
11,1,5,56,36,0,3
11,2,15,36,36,1,1
11,3,43,37,37,1,1
11,4,19,16,52,0,2
11,5,24,52,52,1,1
11,6,49,37,37,1,1
11,7,36,34,34,1,1
12,0,16,23,31,0,7
12,1,17,26,31,0,10
12,2,62,2,31,0,2
12,3,35,2,31,0,7
12,4,60,31,31,1,1
12,5,53,40,31,0,4
12,6,30,57,57,1,1
12,7,31,60,60,1,1
13,0,6,28,33,0,10
13,1,46,61,33,0,10
13,2,32,33,33,1,1
13,3,33,59,29,0,6
13,4,41,19,62,0,5
13,5,62,29,14,0,2
13,6,14,23,23,1,1
13,7,40,15,15,1,1
14,0,46,63,55,0,2
14,1,2,23,55,0,12
14,2,55,20,21,0,4
14,3,21,1,41,0,10
14,4,12,55,3,0,4
14,5,41,34,60,0,4
14,6,60,3,0,0,3
14,7,0,28,28,1,1
15,0,50,2,60,0,11
15,1,31,54,60,0,3
15,2,22,60,60,1,1
15,3,17,8,61,0,3
15,4,20,61,61,1,1
15,5,61,47,60,0,4
15,6,9,21,21,1,1
15,7,60,54,54,1,1
16,0,50,49,31,0,2
16,1,31,51,31,0,9
16,2,54,6,31,0,11
16,3,36,58,31,0,4
16,4,24,48,31,0,7
16,5,17,32,22,0,3
16,6,22,31,50,0,2
16,7,46,50,50,1,1
17,0,6,3,5,0,6
17,1,38,26,5,0,12
17,2,37,22,5,0,6
17,3,5,2,32,0,6
17,4,48,12,36,0,6
17,5,21,5,36,0,5
17,6,17,45,45,1,1
17,7,36,32,32,1,1
18,0,63,43,10,0,14
18,1,25,37,10,0,14
18,2,0,22,10,0,5
18,3,10,13,15,0,2
18,4,18,62,62,1,1
18,5,3,41,14,0,4
18,6,14,10,12,0,3
18,7,12,15,15,1,1
19,0,46,0,49,0,14
19,1,60,49,49,1,1
19,2,52,12,6,0,9
19,3,23,6,6,1,1
19,4,6,49,9,0,5
19,5,50,27,9,0,3
19,6,9,63,63,1,1
19,7,38,7,7,1,1
20,0,51,44,62,0,7
20,1,17,31,62,0,4
20,2,50,54,62,0,3
20,3,60,62,62,1,1
20,4,28,34,62,0,4
20,5,27,62,62,1,1
20,6,47,11,11,1,1
20,7,23,40,40,1,1
21,0,62,26,57,0,3
21,1,63,60,57,0,6
21,2,11,53,57,0,5
21,3,40,3,57,0,7
21,4,57,11,8,0,4
21,5,8,54,51,0,3
21,6,15,51,57,0,2
21,7,21,57,57,1,1
