step,loss,lr,train_tokens
0,4.372859954833984,2.9999999999999997e-06,528
100,4.26607084274292,0.0003,53328
200,4.2283549308776855,0.00029912069357315393,106128
300,4.185194492340088,0.000296493083356513,158928
400,4.16041898727417,0.00029214797567742035,211728
500,4.151669502258301,0.0002861363129506435,264528
600,4.1281023025512695,0.00027852857642513836,317328
700,4.047268390655518,0.00026941395985584653,370128
800,3.9929418563842773,0.0002588993237884696,422928
900,3.911525249481201,0.00024710794271727413,475728
1000,3.8015294075012207,0.00023417805980435736,528528
1100,3.7189133167266846,0.00022026126610496852,581328
1200,3.627920627593994,0.00020552072330098716,634128
1300,3.562842607498169,0.00019012925077938314,686928
1400,3.492837429046631,0.00017426729948291474,739728
1500,3.430182933807373,0.0001581208362878126,792528
1600,3.379423141479492,0.00014187916371218736,845328
1700,3.3885915279388428,0.0001257327005170853,898128
1800,3.327650308609009,0.00010987074922061689,950928
1900,3.2959141731262207,9.447927669901282e-05,1003728
2000,3.298656702041626,7.973873389503149e-05,1056528
2100,3.266477108001709,6.582194019564266e-05,1109328
2200,3.2568283081054688,5.289205728272586e-05,1162128
2300,3.2684383392333984,4.1100676211530404e-05,1214928
2400,3.223602294921875,3.058604014415343e-05,1267728
2500,3.2452244758605957,2.147142357486164e-05,1320528
2600,3.235591173171997,1.3863687049356464e-05,1373328
2700,3.1981420516967773,7.852024322579648e-06,1426128
2800,3.244708776473999,3.506916643487001e-06,1478928
2900,3.203217029571533,8.793064268460604e-07,1531728
2999,3.2245137691497803,8.801667749636088e-11,1584000
