step,loss,lr,train_tokens
0,4.353855609893799,2.9999999999999997e-06,528
100,4.293658256530762,0.0003,53328
200,4.197732925415039,0.00029912069357315393,106128
300,4.16487455368042,0.000296493083356513,158928
400,4.161093711853027,0.00029214797567742035,211728
500,4.124019145965576,0.0002861363129506435,264528
600,4.106189250946045,0.00027852857642513836,317328
700,4.05302619934082,0.00026941395985584653,370128
800,3.935730218887329,0.0002588993237884696,422928
900,3.8568029403686523,0.00024710794271727413,475728
1000,3.790666341781616,0.00023417805980435736,528528
1100,3.753612756729126,0.00022026126610496852,581328
1200,3.694774627685547,0.00020552072330098716,634128
1300,3.6586108207702637,0.00019012925077938314,686928
1400,3.6341187953948975,0.00017426729948291474,739728
1500,3.6299288272857666,0.0001581208362878126,792528
1600,3.6436009407043457,0.00014187916371218736,845328
1700,3.6154582500457764,0.0001257327005170853,898128
1800,3.5952086448669434,0.00010987074922061689,950928
1900,3.596609115600586,9.447927669901282e-05,1003728
2000,3.6036314964294434,7.973873389503149e-05,1056528
2100,3.5539915561676025,6.582194019564266e-05,1109328
2200,3.566028118133545,5.289205728272586e-05,1162128
2300,3.5659570693969727,4.1100676211530404e-05,1214928
2400,3.5447914600372314,3.058604014415343e-05,1267728
2500,3.5608010292053223,2.147142357486164e-05,1320528
2600,3.55349063873291,1.3863687049356464e-05,1373328
2700,3.5694029331207275,7.852024322579648e-06,1426128
2800,3.556337833404541,3.506916643487001e-06,1478928
2900,3.544569492340088,8.793064268460604e-07,1531728
2999,3.557309150695801,8.801667749636088e-11,1584000
