episode,k1,k2,v,pred1,pred2,correct
0,7,48,13,52,40,0
1,37,41,61,16,41,0
2,47,56,45,37,16,0
3,41,34,21,21,9,0
4,50,60,41,42,9,0
5,62,6,27,12,55,0
6,44,29,42,16,29,0
7,13,14,19,46,58,0
8,58,45,42,8,58,0
9,57,49,29,29,52,0
10,56,37,60,37,37,0
11,8,54,16,12,17,0
12,28,48,60,48,40,0
13,7,41,8,41,16,0
14,22,23,48,23,22,0
15,11,1,62,1,62,1
16,45,42,25,12,17,0
17,53,51,1,17,25,0
18,62,26,61,12,55,0
19,3,54,59,37,16,0
20,27,34,7,12,55,0
21,40,17,4,17,40,0
22,35,10,21,21,35,0
23,10,34,20,16,55,0
24,50,63,47,24,17,0
25,42,10,28,52,28,0
26,27,26,24,12,55,0
27,33,16,58,58,27,0
28,47,17,6,37,16,0
29,16,35,52,35,16,0
30,25,29,41,29,17,0
31,57,22,40,16,55,0
32,33,48,38,52,28,0
33,53,28,42,16,55,0
34,29,19,16,17,29,0
35,18,7,50,7,45,0
36,16,37,28,37,16,0
37,41,56,45,16,41,0
38,15,41,8,25,41,0
39,38,18,53,40,9,0
40,46,14,31,16,46,0
41,57,15,13,16,55,0
42,2,60,23,12,55,0
43,45,6,56,12,55,0
44,10,11,12,16,12,0
45,8,37,40,37,37,0
46,41,54,48,48,17,0
47,29,12,24,17,29,0
48,25,41,57,41,40,0
49,10,35,53,35,16,0
50,52,26,56,40,12,0
51,47,15,50,37,16,0
52,51,2,56,23,55,0
53,12,32,47,55,24,0
54,32,57,47,40,17,0
55,36,22,17,17,52,0
56,19,4,43,46,58,0
57,22,50,58,58,27,0
58,46,53,6,58,46,0
59,34,28,59,37,16,0
60,52,31,62,28,52,0
61,62,26,12,12,55,0
62,11,29,54,29,17,0
63,16,54,20,55,16,0
64,29,12,3,17,29,0
65,37,31,57,16,37,0
66,21,43,33,9,21,0
67,39,33,31,27,39,0
68,12,38,23,55,52,0
69,27,50,26,12,58,0
70,30,58,62,58,37,0
71,31,57,62,17,25,0
72,31,30,60,16,55,0
73,53,10,7,17,16,0
74,53,14,31,17,25,0
75,42,3,51,52,40,0
76,6,60,10,40,17,0
77,15,24,47,25,45,0
78,33,43,16,52,28,0
79,49,14,27,12,55,0
80,61,8,54,8,25,0
81,43,46,13,8,46,0
82,21,20,31,21,21,0
83,26,18,17,58,37,0
84,44,31,29,51,29,0
85,15,3,27,25,40,0
86,60,36,16,6,40,0
87,52,19,5,19,19,0
88,55,26,28,58,55,0
89,28,20,31,20,28,0
90,59,53,12,12,53,0
91,24,9,13,9,17,0
92,1,4,17,16,12,0
93,23,3,47,11,52,0
94,45,0,55,55,55,0
95,58,6,45,8,58,0
96,23,28,17,28,23,0
97,8,24,23,12,55,0
98,61,43,20,17,43,0
99,20,2,29,29,55,0
