episode,query_idx,key,value,pred,correct,rank
0,0,8,61,21,0,21
0,1,18,15,21,0,22
0,2,21,59,35,0,22
0,3,30,35,21,0,3
0,4,0,4,35,0,40
0,5,31,29,35,0,3
0,6,53,46,29,0,17
0,7,15,63,21,0,13
1,0,10,15,58,0,4
1,1,63,7,41,0,2
1,2,61,1,41,0,47
1,3,3,45,53,0,18
1,4,6,34,25,0,9
1,5,38,18,58,0,22
1,6,58,45,41,0,25
1,7,41,33,48,0,24
2,0,17,30,35,0,41
2,1,55,35,26,0,3
2,2,27,19,35,0,39
2,3,57,63,50,0,27
2,4,30,38,35,0,42
2,5,42,54,35,0,22
2,6,59,50,35,0,13
2,7,5,27,35,0,10
3,0,21,1,35,0,8
3,1,27,42,64,0,33
3,2,49,30,21,0,49
3,3,41,55,35,0,3
3,4,19,14,21,0,17
3,5,35,2,21,0,33
3,6,44,4,35,0,44
3,7,5,23,35,0,58
4,0,2,54,21,0,30
4,1,45,25,21,0,17
4,2,3,10,21,0,35
4,3,30,18,21,0,55
4,4,21,13,21,0,34
4,5,26,33,21,0,4
4,6,58,29,21,0,6
4,7,11,17,21,0,34
5,0,55,44,58,0,4
5,1,58,9,29,0,15
5,2,61,40,44,0,24
5,3,37,49,58,0,20
5,4,29,58,55,0,9
5,5,7,8,29,0,15
5,6,36,59,29,0,10
5,7,43,14,29,0,53
6,0,14,61,62,0,36
6,1,27,53,44,0,31
6,2,28,27,58,0,17
6,3,15,9,58,0,16
6,4,61,45,30,0,41
6,5,58,34,37,0,51
6,6,42,1,44,0,18
6,7,46,34,58,0,4
7,0,16,2,29,0,7
7,1,31,49,29,0,34
7,2,60,46,29,0,6
7,3,50,53,29,0,52
7,4,59,27,32,0,20
7,5,29,4,52,0,46
7,6,15,36,29,0,35
7,7,3,19,29,0,2
8,0,46,52,62,0,11
8,1,48,59,19,0,2
8,2,61,59,19,0,47
8,3,24,10,59,0,39
8,4,7,19,19,1,1
8,5,59,13,45,0,23
8,6,27,41,44,0,33
8,7,1,37,19,0,2
9,0,9,35,35,1,1
9,1,43,41,35,0,3
9,2,48,52,35,0,43
9,3,26,45,64,0,40
9,4,56,21,64,0,2
9,5,3,5,21,0,50
9,6,63,35,21,0,2
9,7,22,49,35,0,29
10,0,51,44,21,0,25
10,1,63,27,21,0,22
10,2,38,21,16,0,2
10,3,12,47,24,0,29
10,4,50,6,21,0,23
10,5,46,0,21,0,8
10,6,37,3,21,0,19
10,7,53,56,21,0,21
11,0,61,56,23,0,14
11,1,40,59,23,0,5
11,2,62,36,12,0,55
11,3,42,17,56,0,14
11,4,12,53,55,0,5
11,5,14,59,2,0,11
11,6,44,35,51,0,30
11,7,51,39,23,0,17
12,0,20,48,40,0,3
12,1,56,43,17,0,17
12,2,40,13,13,1,1
12,3,14,5,13,0,17
12,4,24,40,13,0,5
12,5,16,13,40,0,6
12,6,47,13,40,0,3
12,7,4,25,13,0,18
13,0,32,16,29,0,30
13,1,42,17,29,0,27
13,2,63,5,29,0,56
13,3,22,19,29,0,22
13,4,18,52,29,0,54
13,5,61,3,19,0,29
13,6,58,43,19,0,50
13,7,29,55,52,0,2
14,0,55,49,21,0,53
14,1,42,12,21,0,58
14,2,53,59,21,0,32
14,3,58,45,21,0,55
14,4,36,47,21,0,22
14,5,30,24,21,0,27
14,6,11,21,21,1,1
14,7,7,19,21,0,34
15,0,4,2,58,0,12
15,1,25,42,58,0,2
15,2,3,1,47,0,50
15,3,40,10,58,0,28
15,4,23,5,11,0,5
15,5,5,23,58,0,10
15,6,19,7,58,0,18
15,7,58,61,19,0,4
16,0,37,13,20,0,2
16,1,23,38,39,0,51
16,2,26,60,8,0,30
16,3,6,10,23,0,13
16,4,20,7,23,0,8
16,5,8,24,20,0,36
16,6,15,35,25,0,29
16,7,53,12,17,0,49
17,0,10,5,16,0,38
17,1,7,42,12,0,10
17,2,16,25,55,0,16
17,3,42,17,16,0,6
17,4,54,62,7,0,52
17,5,44,24,7,0,53
17,6,31,14,16,0,47
17,7,61,52,13,0,10
18,0,63,35,58,0,5
18,1,47,53,58,0,14
18,2,49,37,58,0,36
18,3,44,63,16,0,52
18,4,58,4,37,0,44
18,5,23,6,17,0,33
18,6,53,2,17,0,12
18,7,10,17,58,0,10
19,0,49,5,35,0,63
19,1,53,3,50,0,4
19,2,32,26,52,0,13
19,3,10,18,16,0,28
19,4,62,63,26,0,35
19,5,30,35,35,1,1
19,6,7,59,35,0,50
19,7,47,54,35,0,8
20,0,37,3,9,0,24
20,1,1,0,37,0,44
20,2,17,50,24,0,2
20,3,36,16,29,0,46
20,4,9,13,37,0,21
20,5,29,18,17,0,7
20,6,22,15,29,0,21
20,7,32,59,24,0,21
21,0,2,39,21,0,12
21,1,43,19,15,0,8
21,2,52,13,21,0,24
21,3,17,36,35,0,22
21,4,19,7,21,0,54
21,5,31,53,21,0,44
21,6,21,7,19,0,47
21,7,60,12,21,0,57
22,0,22,5,21,0,32
22,1,30,12,21,0,38
22,2,25,22,21,0,31
22,3,6,25,21,0,2
22,4,21,50,9,0,7
22,5,28,10,21,0,47
22,6,10,62,21,0,22
22,7,9,36,21,0,38
23,0,31,34,25,0,38
23,1,23,3,34,0,52
23,2,43,45,41,0,29
23,3,9,1,43,0,26
23,4,56,6,43,0,4
23,5,52,37,15,0,49
23,6,38,15,17,0,18
23,7,8,41,25,0,6
24,0,23,33,22,0,6
24,1,38,39,39,1,1
24,2,10,48,21,0,21
24,3,54,32,21,0,6
24,4,26,12,11,0,19
24,5,19,61,21,0,28
24,6,21,59,19,0,13
24,7,43,55,35,0,7
25,0,33,12,50,0,16
25,1,16,13,55,0,3
25,2,31,44,26,0,31
25,3,55,53,26,0,34
25,4,12,10,55,0,39
25,5,26,7,11,0,5
25,6,21,3,55,0,57
25,7,37,40,13,0,42
26,0,30,63,55,0,54
26,1,39,0,55,0,21
26,2,63,62,55,0,60
26,3,38,32,39,0,35
26,4,14,2,55,0,27
26,5,45,22,55,0,5
26,6,5,55,55,1,1
26,7,28,55,55,1,1
27,0,31,43,41,0,34
27,1,45,23,41,0,50
27,2,58,41,41,1,1
27,3,41,55,38,0,3
27,4,24,36,41,0,19
27,5,21,8,41,0,49
27,6,49,8,21,0,41
27,7,8,38,55,0,16
28,0,15,14,58,0,62
28,1,17,10,34,0,16
28,2,20,13,17,0,9
28,3,9,6,17,0,8
28,4,45,28,20,0,5
28,5,58,15,37,0,29
28,6,53,0,17,0,9
28,7,32,24,24,1,1
29,0,41,10,46,0,37
29,1,56,9,63,0,17
29,2,19,1,9,0,12
29,3,33,53,19,0,31
29,4,43,26,25,0,41
29,5,11,22,1,0,35
29,6,25,23,64,0,54
29,7,42,63,19,0,2
30,0,32,31,58,0,57
30,1,23,6,55,0,7
30,2,35,27,58,0,3
30,3,57,3,58,0,44
30,4,58,43,27,0,48
30,5,6,29,11,0,25
30,6,55,58,58,1,1
30,7,48,4,58,0,21
31,0,15,23,58,0,43
31,1,47,33,37,0,22
31,2,60,16,19,0,14
31,3,45,12,19,0,8
31,4,55,1,24,0,37
31,5,16,56,19,0,42
31,6,49,52,32,0,26
31,7,37,19,19,1,1
32,0,37,16,20,0,8
32,1,53,60,17,0,17
32,2,20,57,12,0,50
32,3,12,20,55,0,5
32,4,36,49,20,0,22
32,5,15,59,25,0,27
32,6,40,47,17,0,15
32,7,55,2,2,1,1
33,0,4,46,21,0,4
33,1,63,2,21,0,40
33,2,13,14,21,0,44
33,3,3,40,21,0,49
33,4,1,24,21,0,38
33,5,57,53,21,0,25
33,6,43,62,28,0,14
33,7,31,21,21,1,1
34,0,29,0,55,0,17
34,1,17,31,29,0,34
34,2,21,26,35,0,5
34,3,26,45,21,0,51
34,4,16,1,29,0,35
34,5,3,55,29,0,3
34,6,34,63,21,0,37
34,7,7,18,29,0,19
35,0,8,16,12,0,7
35,1,16,13,12,0,9
35,2,17,62,16,0,48
35,3,44,52,13,0,5
35,4,11,24,13,0,12
35,5,56,46,12,0,7
35,6,50,30,42,0,57
35,7,39,63,44,0,42
36,0,63,20,29,0,2
36,1,61,48,29,0,19
36,2,20,60,29,0,30
36,3,11,37,20,0,7
36,4,40,20,29,0,4
36,5,14,34,29,0,14
36,6,27,38,20,0,48
36,7,44,29,29,1,1
37,0,49,53,21,0,49
37,1,14,40,29,0,33
37,2,22,57,29,0,24
37,3,26,7,11,0,5
37,4,47,51,29,0,16
37,5,36,29,29,1,1
37,6,40,11,29,0,5
37,7,4,21,29,0,2
38,0,60,14,29,0,58
38,1,9,3,29,0,21
38,2,38,27,58,0,27
38,3,54,23,29,0,51
38,4,52,4,29,0,35
38,5,18,7,29,0,3
38,6,58,29,29,1,1
38,7,32,29,29,1,1
39,0,1,7,29,0,5
39,1,2,63,29,0,60
39,2,36,44,29,0,2
39,3,32,8,44,0,16
39,4,16,41,29,0,45
39,5,26,47,41,0,8
39,6,29,59,7,0,36
39,7,61,52,29,0,21
40,0,23,55,11,0,2
40,1,51,38,21,0,6
40,2,25,8,21,0,60
40,3,26,23,11,0,26
40,4,41,20,21,0,8
40,5,49,21,21,1,1
40,6,35,51,21,0,33
40,7,17,24,38,0,48
41,0,7,58,29,0,2
41,1,27,33,29,0,46
41,2,15,7,58,0,3
41,3,40,11,58,0,13
41,4,4,59,58,0,11
41,5,24,7,29,0,7
41,6,35,42,29,0,17
41,7,43,29,58,0,3
42,0,57,35,16,0,31
42,1,48,49,58,0,50
42,2,0,53,58,0,27
42,3,36,40,12,0,2
42,4,59,23,35,0,48
42,5,32,0,40,0,5
42,6,28,58,23,0,4
42,7,5,17,58,0,14
43,0,29,55,55,1,1
43,1,23,53,55,0,36
43,2,31,36,29,0,34
43,3,57,20,29,0,53
43,4,32,48,29,0,23
43,5,45,4,29,0,38
43,6,38,49,40,0,28
43,7,7,5,29,0,55
44,0,49,62,29,0,48
44,1,29,26,52,0,46
44,2,14,41,29,0,14
44,3,32,27,29,0,38
44,4,31,17,29,0,28
44,5,11,9,29,0,34
44,6,23,49,64,0,11
44,7,48,1,29,0,51
45,0,54,1,16,0,22
45,1,7,36,12,0,24
45,2,18,3,7,0,34
45,3,12,53,55,0,4
45,4,43,33,12,0,53
45,5,49,16,12,0,2
45,6,6,0,25,0,31
45,7,62,4,1,0,33
46,0,51,3,27,0,25
46,1,5,62,45,0,23
46,2,59,63,7,0,44
46,3,33,4,52,0,5
46,4,20,42,4,0,44
46,5,23,24,39,0,39
46,6,14,49,13,0,2
46,7,32,15,4,0,3
47,0,0,18,13,0,42
47,1,56,39,12,0,2
47,2,43,13,8,0,7
