episode,k1,k2,v,pred1,pred2,correct
0,7,48,13,48,7,0
1,37,41,61,51,41,0
2,47,56,45,56,8,0
3,41,34,21,21,25,0
4,50,60,41,50,50,0
5,62,6,27,6,6,0
6,44,29,42,29,29,0
7,13,14,19,14,14,0
8,58,45,42,60,58,0
9,57,49,29,49,57,0
10,56,37,60,37,37,0
11,8,54,16,54,54,0
12,28,48,60,48,28,0
13,7,41,8,8,8,0
14,22,23,48,23,22,0
15,11,1,62,1,1,0
16,45,42,25,25,42,0
17,53,51,1,51,1,1
18,62,26,61,26,26,0
19,3,54,59,54,54,0
20,27,34,7,7,34,0
21,40,17,4,17,17,0
22,35,10,21,10,35,0
23,10,34,20,34,34,0
24,50,63,47,63,50,0
25,42,10,28,10,42,0
26,27,26,24,26,26,0
27,33,16,58,51,16,0
28,47,17,6,17,17,0
29,16,35,52,35,35,0
30,25,29,41,29,25,0
31,57,22,40,34,22,0
32,33,48,38,48,33,0
33,53,28,42,28,50,0
34,29,19,16,19,19,0
35,18,7,50,7,7,0
36,16,37,28,37,28,1
37,41,56,45,56,8,0
38,15,41,8,41,31,0
39,38,18,53,18,54,0
40,46,14,31,14,14,0
41,57,15,13,15,10,0
42,2,60,23,23,2,0
43,45,6,56,6,6,0
44,10,11,12,11,11,0
45,8,37,40,37,37,0
46,41,54,48,54,54,0
47,29,12,24,19,10,0
48,25,41,57,25,25,0
49,10,35,53,35,35,0
50,52,26,56,26,52,0
51,47,15,50,50,50,0
52,51,2,56,2,2,0
53,12,32,47,32,32,0
54,32,57,47,49,32,0
55,36,22,17,22,22,0
56,19,4,43,4,19,0
57,22,50,58,50,50,0
58,46,53,6,19,19,0
59,34,28,59,28,28,0
60,52,31,62,31,31,0
61,62,26,12,26,62,0
62,11,29,54,29,29,0
63,16,54,20,54,54,0
64,29,12,3,19,19,0
65,37,31,57,31,31,0
66,21,43,33,43,43,0
67,39,33,31,33,33,0
68,12,38,23,38,38,0
69,27,50,26,50,50,0
70,30,58,62,58,58,0
71,31,57,62,11,31,0
72,31,30,60,30,30,0
73,53,10,7,10,10,0
74,53,14,31,14,14,0
75,42,3,51,3,42,0
76,6,60,10,6,6,0
77,15,24,47,24,24,0
78,33,43,16,43,33,0
79,49,14,27,14,14,0
80,61,8,54,8,8,0
81,43,46,13,46,13,1
82,21,20,31,31,31,0
83,26,18,17,18,26,0
84,44,31,29,31,31,0
85,15,3,27,3,3,0
86,60,36,16,36,36,0
87,52,19,5,19,19,0
88,55,26,28,26,26,0
89,28,20,31,20,28,0
90,59,53,12,53,25,0
91,24,9,13,9,9,0
92,1,4,17,4,4,0
93,23,3,47,3,3,0
94,45,0,55,8,45,0
95,58,6,45,6,6,0
96,23,28,17,28,28,0
97,8,24,23,24,24,0
98,61,43,20,61,61,0
99,20,2,29,2,2,0
