episode,query_idx,key,value,pred,correct,rank
0,0,8,61,0,0,31
0,1,18,15,0,0,8
0,2,21,59,59,1,1
0,3,30,35,0,0,38
0,4,0,4,59,0,44
0,5,31,29,18,0,47
0,6,53,46,18,0,49
0,7,15,63,59,0,21
1,0,10,15,61,0,13
1,1,63,7,10,0,29
1,2,61,1,10,0,49
1,3,3,45,7,0,29
1,4,6,34,10,0,41
1,5,38,18,10,0,16
1,6,58,45,10,0,45
1,7,41,33,10,0,18
2,0,17,30,27,0,51
2,1,55,35,38,0,24
2,2,27,19,55,0,49
2,3,57,63,27,0,42
2,4,30,38,27,0,5
2,5,42,54,27,0,41
2,6,59,50,27,0,25
2,7,5,27,27,1,1
3,0,21,1,19,0,4
3,1,27,42,23,0,15
3,2,49,30,19,0,29
3,3,41,55,44,0,51
3,4,19,14,1,0,8
3,5,35,2,41,0,12
3,6,44,4,41,0,33
3,7,5,23,23,1,1
4,0,2,54,61,0,31
4,1,45,25,17,0,3
4,2,3,10,25,0,24
4,3,30,18,10,0,5
4,4,21,13,10,0,8
4,5,26,33,13,0,9
4,6,58,29,10,0,9
4,7,11,17,10,0,5
5,0,55,44,42,0,53
5,1,58,9,55,0,51
5,2,61,40,58,0,34
5,3,37,49,58,0,37
5,4,29,58,58,1,1
5,5,7,8,58,0,64
5,6,36,59,58,0,33
5,7,43,14,58,0,2
6,0,14,61,61,1,1
6,1,27,53,61,0,17
6,2,28,27,27,1,1
6,3,15,9,27,0,45
6,4,61,45,27,0,26
6,5,58,34,27,0,39
6,6,42,1,27,0,46
6,7,46,34,27,0,29
7,0,16,2,27,0,27
7,1,31,49,16,0,26
7,2,60,46,16,0,7
7,3,50,53,16,0,33
7,4,59,27,16,0,2
7,5,29,4,27,0,58
7,6,15,36,16,0,14
7,7,3,19,27,0,33
8,0,46,52,13,0,8
8,1,48,59,13,0,4
8,2,61,59,13,0,4
8,3,24,10,13,0,17
8,4,7,19,10,0,11
8,5,59,13,10,0,2
8,6,27,41,10,0,4
8,7,1,37,13,0,16
9,0,9,35,63,0,23
9,1,43,41,41,1,1
9,2,48,52,42,0,22
9,3,26,45,41,0,40
9,4,56,21,41,0,21
9,5,3,5,41,0,26
9,6,63,35,41,0,11
9,7,22,49,26,0,24
10,0,51,44,27,0,11
10,1,63,27,51,0,13
10,2,38,21,0,0,18
10,3,12,47,26,0,12
10,4,50,6,27,0,14
10,5,46,0,38,0,13
10,6,37,3,38,0,28
10,7,53,56,27,0,40
11,0,61,56,53,0,6
11,1,40,59,59,1,1
11,2,62,36,53,0,13
11,3,42,17,39,0,25
11,4,12,53,36,0,3
11,5,14,59,36,0,3
11,6,44,35,30,0,37
11,7,51,39,41,0,21
12,0,20,48,13,0,28
12,1,56,43,13,0,39
12,2,40,13,13,1,1
12,3,14,5,13,0,7
12,4,24,40,13,0,11
12,5,16,13,13,1,1
12,6,47,13,13,1,1
12,7,4,25,13,0,13
13,0,32,16,42,0,3
13,1,42,17,32,0,15
13,2,63,5,42,0,29
13,3,22,19,55,0,42
13,4,18,52,32,0,51
13,5,61,3,42,0,45
13,6,58,43,16,0,11
13,7,29,55,55,1,1
14,0,55,49,42,0,50
14,1,42,12,58,0,20
14,2,53,59,42,0,41
14,3,58,45,42,0,58
14,4,36,47,42,0,26
14,5,30,24,36,0,56
14,6,11,21,58,0,15
14,7,7,19,42,0,12
15,0,4,2,23,0,27
15,1,25,42,23,0,6
15,2,3,1,61,0,17
15,3,40,10,23,0,19
15,4,23,5,61,0,9
15,5,5,23,23,1,1
15,6,19,7,23,0,4
15,7,58,61,23,0,6
16,0,37,13,4,0,6
16,1,23,38,17,0,15
16,2,26,60,38,0,13
16,3,6,10,7,0,6
16,4,20,7,38,0,2
16,5,8,24,7,0,44
16,6,15,35,13,0,18
16,7,53,12,23,0,21
17,0,10,5,61,0,52
17,1,7,42,42,1,1
17,2,16,25,42,0,8
17,3,42,17,61,0,7
17,4,54,62,42,0,14
17,5,44,24,42,0,42
17,6,31,14,42,0,4
17,7,61,52,14,0,49
18,0,63,35,26,0,7
18,1,47,53,5,0,23
18,2,49,37,63,0,6
18,3,44,63,26,0,3
18,4,58,4,26,0,21
18,5,23,6,5,0,32
18,6,53,2,23,0,4
18,7,10,17,23,0,39
19,0,49,5,32,0,17
19,1,53,3,32,0,31
19,2,32,26,29,0,36
19,3,10,18,32,0,27
19,4,62,63,32,0,4
19,5,30,35,32,0,19
