episode,k1,k2,v,pred1,pred2,correct
0,7,48,13,48,7,0
1,37,41,61,4,41,0
2,47,56,45,8,42,0
3,41,34,21,33,51,0
4,50,60,41,33,6,0
5,62,6,27,0,27,0
6,44,29,42,8,44,0
7,13,14,19,19,14,0
8,58,45,42,8,42,0
9,57,49,29,8,0,0
10,56,37,60,33,8,0
11,8,54,16,54,39,0
12,28,48,60,42,39,0
13,7,41,8,41,7,0
14,22,23,48,42,39,0
15,11,1,62,1,1,0
16,45,42,25,42,39,0
17,53,51,1,1,42,0
18,62,26,61,26,26,0
19,3,54,59,54,59,1
20,27,34,7,7,7,0
21,40,17,4,17,0,0
22,35,10,21,10,10,0
23,10,34,20,0,10,0
24,50,63,47,63,63,0
25,42,10,28,10,10,0
26,27,26,24,26,26,0
27,33,16,58,51,33,0
28,47,17,6,16,8,0
29,16,35,52,52,0,0
30,25,29,41,42,39,0
31,57,22,40,8,14,0
32,33,48,38,48,33,0
33,53,28,42,42,39,0
34,29,19,16,19,19,0
35,18,7,50,7,7,0
36,16,37,28,42,39,0
37,41,56,45,8,41,0
38,15,41,8,42,15,0
39,38,18,53,39,42,0
40,46,14,31,6,6,0
41,57,15,13,15,58,0
42,2,60,23,61,6,0
43,45,6,56,42,6,0
44,10,11,12,14,10,0
45,8,37,40,14,8,0
46,41,54,48,48,42,0
47,29,12,24,0,42,0
48,25,41,57,42,39,0
49,10,35,53,14,10,0
50,52,26,56,26,52,0
51,47,15,50,5,42,0
52,51,2,56,31,42,0
53,12,32,47,8,32,0
54,32,57,47,6,32,0
55,36,22,17,17,0,0
56,19,4,43,42,19,0
57,22,50,58,42,39,0
58,46,53,6,42,39,0
59,34,28,59,42,39,0
60,52,31,62,31,0,0
61,62,26,12,26,26,0
62,11,29,54,34,42,0
63,16,54,20,8,20,0
64,29,12,3,0,51,0
65,37,31,57,4,31,0
66,21,43,33,1,33,0
67,39,33,31,6,39,0
68,12,38,23,8,38,0
69,27,50,26,0,26,0
70,30,58,62,33,51,0
71,31,57,62,0,31,0
72,31,30,60,0,31,0
73,53,10,7,10,10,0
74,53,14,31,14,49,0
75,42,3,51,39,45,0
76,6,60,10,10,9,0
77,15,24,47,58,15,0
78,33,43,16,6,33,0
79,49,14,27,7,14,0
80,61,8,54,8,17,0
81,43,46,13,46,6,0
82,21,20,31,31,0,0
83,26,18,17,26,26,0
84,44,31,29,31,0,0
85,15,3,27,58,15,0
86,60,36,16,33,6,0
87,52,19,5,19,52,0
88,55,26,28,26,55,0
89,28,20,31,20,31,1
90,59,53,12,59,59,0
91,24,9,13,42,39,0
92,1,4,17,42,17,0
93,23,3,47,39,45,0
94,45,0,55,55,42,0
95,58,6,45,6,42,0
96,23,28,17,39,45,0
97,8,24,23,0,8,0
98,61,43,20,23,39,0
99,20,2,29,0,20,0
