episode,query_idx,key,value,pred,correct,rank
0,0,8,61,15,0,47
0,1,18,15,15,1,1
0,2,21,59,15,0,2
0,3,30,35,15,0,43
0,4,0,4,15,0,33
0,5,31,29,15,0,61
0,6,53,46,15,0,51
0,7,15,63,15,0,5
1,0,10,15,14,0,14
1,1,63,7,33,0,28
1,2,61,1,33,0,40
1,3,3,45,15,0,24
1,4,6,34,10,0,49
1,5,38,18,15,0,12
1,6,58,45,33,0,65
1,7,41,33,33,1,1
2,0,17,30,34,0,38
2,1,55,35,27,0,50
2,2,27,19,55,0,23
2,3,57,63,27,0,23
2,4,30,38,7,0,44
2,5,42,54,55,0,6
2,6,59,50,55,0,55
2,7,5,27,54,0,16
3,0,21,1,1,1,1
3,1,27,42,41,0,2
3,2,49,30,19,0,47
3,3,41,55,19,0,26
3,4,19,14,42,0,11
3,5,35,2,1,0,13
3,6,44,4,19,0,41
3,7,5,23,19,0,11
4,0,2,54,12,0,21
4,1,45,25,17,0,17
4,2,3,10,4,0,28
4,3,30,18,10,0,6
4,4,21,13,10,0,34
4,5,26,33,10,0,15
4,6,58,29,10,0,9
4,7,11,17,1,0,4
5,0,55,44,59,0,54
5,1,58,9,59,0,54
5,2,61,40,15,0,60
5,3,37,49,55,0,21
5,4,29,58,33,0,19
5,5,7,8,33,0,36
5,6,36,59,38,0,15
5,7,43,14,33,0,8
6,0,14,61,27,0,13
6,1,27,53,42,0,29
6,2,28,27,42,0,2
6,3,15,9,42,0,54
6,4,61,45,27,0,8
6,5,58,34,15,0,32
6,6,42,1,15,0,11
6,7,46,34,42,0,24
7,0,16,2,19,0,20
7,1,31,49,19,0,35
7,2,60,46,31,0,26
7,3,50,53,31,0,15
7,4,59,27,19,0,2
7,5,29,4,19,0,46
7,6,15,36,53,0,4
7,7,3,19,15,0,19
8,0,46,52,52,1,1
8,1,48,59,52,0,2
8,2,61,59,52,0,4
8,3,24,10,52,0,22
8,4,7,19,10,0,15
8,5,59,13,52,0,5
8,6,27,41,52,0,16
8,7,1,37,52,0,20
9,0,9,35,26,0,42
9,1,43,41,52,0,4
9,2,48,52,26,0,4
9,3,26,45,52,0,12
9,4,56,21,52,0,24
9,5,3,5,48,0,46
9,6,63,35,26,0,27
9,7,22,49,26,0,27
10,0,51,44,31,0,20
10,1,63,27,51,0,37
10,2,38,21,63,0,47
10,3,12,47,26,0,34
10,4,50,6,51,0,6
10,5,46,0,63,0,7
10,6,37,3,26,0,22
10,7,53,56,26,0,28
11,0,61,56,59,0,20
11,1,40,59,59,1,1
11,2,62,36,59,0,20
11,3,42,17,59,0,5
11,4,12,53,59,0,4
11,5,14,59,59,1,1
11,6,44,35,59,0,40
11,7,51,39,59,0,3
12,0,20,48,13,0,10
12,1,56,43,13,0,48
12,2,40,13,13,1,1
12,3,14,5,13,0,32
12,4,24,40,13,0,4
12,5,16,13,20,0,3
12,6,47,13,1,0,5
12,7,4,25,13,0,5
13,0,32,16,55,0,12
13,1,42,17,17,1,1
13,2,63,5,55,0,39
13,3,22,19,42,0,26
13,4,18,52,19,0,20
13,5,61,3,52,0,41
13,6,58,43,19,0,6
13,7,29,55,55,1,1
14,0,55,49,19,0,52
14,1,42,12,19,0,39
14,2,53,59,19,0,26
14,3,58,45,19,0,58
14,4,36,47,53,0,30
14,5,30,24,19,0,54
14,6,11,21,19,0,11
14,7,7,19,7,0,2
15,0,4,2,19,0,25
15,1,25,42,23,0,4
15,2,3,1,47,0,44
15,3,40,10,64,0,3
15,4,23,5,8,0,4
15,5,5,23,10,0,4
15,6,19,7,10,0,36
15,7,58,61,19,0,22
16,0,37,13,7,0,9
16,1,23,38,8,0,46
16,2,26,60,7,0,8
16,3,6,10,26,0,2
16,4,20,7,10,0,3
16,5,8,24,64,0,23
16,6,15,35,10,0,53
16,7,53,12,14,0,30
17,0,10,5,17,0,61
17,1,7,42,10,0,15
17,2,16,25,10,0,15
17,3,42,17,10,0,2
17,4,54,62,10,0,51
17,5,44,24,10,0,42
17,6,31,14,10,0,38
17,7,61,52,64,0,21
18,0,63,35,10,0,21
18,1,47,53,33,0,50
18,2,49,37,63,0,3
18,3,44,63,63,1,1
18,4,58,4,63,0,48
18,5,23,6,39,0,30
18,6,53,2,63,0,44
18,7,10,17,14,0,11
19,0,49,5,27,0,45
19,1,53,3,63,0,44
19,2,32,26,55,0,33
19,3,10,18,0,0,44
19,4,62,63,27,0,7
19,5,30,35,64,0,27
19,6,7,59,10,0,36
19,7,47,54,16,0,25
20,0,37,3,1,0,24
20,1,1,0,37,0,8
20,2,17,50,59,0,50
20,3,36,16,37,0,24
20,4,9,13,17,0,5
20,5,29,18,13,0,17
20,6,22,15,13,0,19
20,7,32,59,13,0,7
21,0,2,39,19,0,23
21,1,43,19,19,1,1
