episode,k1,k2,v,pred1,pred2,correct
0,7,48,13,13,45,0
1,37,41,61,41,61,1
2,47,56,45,49,12,0
3,41,34,21,61,18,0
4,50,60,41,47,49,0
5,62,6,27,20,61,0
6,44,29,42,29,10,0
7,13,14,19,15,13,0
8,58,45,42,49,12,0
9,57,49,29,5,6,0
10,56,37,60,15,37,0
11,8,54,16,49,33,0
12,28,48,60,45,7,0
13,7,41,8,41,45,0
14,22,23,48,15,61,0
15,11,1,62,1,12,0
16,45,42,25,7,38,0
17,53,51,1,5,10,0
18,62,26,61,36,59,0
19,3,54,59,47,49,0
20,27,34,7,5,6,0
21,40,17,4,17,14,0
22,35,10,21,61,18,0
23,10,34,20,59,61,0
24,50,63,47,47,49,0
25,42,10,28,6,20,0
26,27,26,24,20,61,0
27,33,16,58,35,15,0
28,47,17,6,49,12,0
29,16,35,52,1,2,0
30,25,29,41,36,29,0
31,57,22,40,5,7,0
32,33,48,38,36,10,0
33,53,28,42,5,6,0
34,29,19,16,47,29,0
35,18,7,50,45,7,0
36,16,37,28,1,2,0
37,41,56,45,61,18,0
38,15,41,8,41,49,0
39,38,18,53,36,10,0
40,46,14,31,47,31,0
41,57,15,13,5,6,0
42,2,60,23,12,1,0
43,45,6,56,7,38,0
44,10,11,12,59,61,0
45,8,37,40,49,12,0
46,41,54,48,61,18,0
47,29,12,24,10,29,0
48,25,41,57,45,7,0
49,10,35,53,35,61,0
50,52,26,56,49,12,0
51,47,15,50,49,12,0
52,51,2,56,2,12,0
53,12,32,47,43,12,0
54,32,57,47,6,60,0
55,36,22,17,59,61,0
56,19,4,43,1,2,0
57,22,50,58,14,2,0
58,46,53,6,47,10,0
59,34,28,59,14,2,0
60,52,31,62,31,36,0
61,62,26,12,36,12,0
62,11,29,54,21,14,0
63,16,54,20,1,2,0
64,29,12,3,6,29,0
65,37,31,57,31,60,0
66,21,43,33,14,2,0
67,39,33,31,31,36,0
68,12,38,23,1,2,0
69,27,50,26,20,61,0
70,30,58,62,52,49,0
71,31,57,62,36,31,0
72,31,30,60,60,30,0
73,53,10,7,47,10,0
74,53,14,31,47,31,0
75,42,3,51,5,40,0
76,6,60,10,20,45,0
77,15,24,47,61,18,0
78,33,43,16,0,10,0
79,49,14,27,12,20,0
80,61,8,54,18,48,0
81,43,46,13,7,38,0
82,21,20,31,31,36,0
83,26,18,17,29,20,0
84,44,31,29,29,10,0
85,15,3,27,61,18,0
86,60,36,16,10,36,0
87,52,19,5,49,12,0
88,55,26,28,5,6,0
89,28,20,31,43,31,0
90,59,53,12,61,18,0
91,24,9,13,59,61,0
92,1,4,17,2,12,0
93,23,3,47,2,12,0
94,45,0,55,7,60,0
95,58,6,45,49,12,0
96,23,28,17,6,20,0
97,8,24,23,49,12,0
98,61,43,20,18,61,0
99,20,2,29,29,20,0
