episode,query_idx,key,value,pred,correct,rank
0,0,8,61,19,0,37
0,1,18,15,29,0,18
0,2,21,59,31,0,35
0,3,30,35,31,0,59
0,4,0,4,31,0,49
0,5,31,29,11,0,2
0,6,53,46,3,0,53
0,7,15,63,3,0,2
1,0,10,15,63,0,25
1,1,63,7,49,0,3
1,2,61,1,63,0,25
1,3,3,45,47,0,9
1,4,6,34,63,0,48
1,5,38,18,16,0,12
1,6,58,45,63,0,2
1,7,41,33,63,0,26
2,0,17,30,8,0,12
2,1,55,35,40,0,46
2,2,27,19,44,0,20
2,3,57,63,5,0,33
2,4,30,38,19,0,64
2,5,42,54,24,0,53
2,6,59,50,3,0,53
2,7,5,27,33,0,7
3,0,21,1,14,0,19
3,1,27,42,44,0,4
3,2,49,30,37,0,23
3,3,41,55,61,0,58
3,4,19,14,1,0,12
3,5,35,2,27,0,51
3,6,44,4,30,0,4
3,7,5,23,30,0,10
4,0,2,54,12,0,21
4,1,45,25,29,0,36
4,2,3,10,47,0,20
4,3,30,18,29,0,32
4,4,21,13,31,0,19
4,5,26,33,29,0,31
4,6,58,29,13,0,24
4,7,11,17,13,0,38
5,0,55,44,23,0,16
5,1,58,9,29,0,29
5,2,61,40,18,0,50
5,3,37,49,29,0,4
5,4,29,58,0,0,63
5,5,7,8,21,0,52
5,6,36,59,29,0,8
5,7,43,14,29,0,45
6,0,14,61,47,0,25
6,1,27,53,14,0,49
6,2,28,27,34,0,4
6,3,15,9,61,0,14
6,4,61,45,27,0,14
6,5,58,34,31,0,10
6,6,42,1,6,0,12
6,7,46,34,47,0,7
7,0,16,2,29,0,54
7,1,31,49,29,0,3
7,2,60,46,40,0,33
7,3,50,53,31,0,37
7,4,59,27,49,0,40
7,5,29,4,46,0,19
7,6,15,36,35,0,5
7,7,3,19,47,0,40
8,0,46,52,47,0,27
8,1,48,59,10,0,59
8,2,61,59,18,0,30
8,3,24,10,13,0,45
8,4,7,19,13,0,55
8,5,59,13,49,0,5
8,6,27,41,13,0,47
8,7,1,37,7,0,19
9,0,9,35,63,0,59
9,1,43,41,41,1,1
9,2,48,52,10,0,64
9,3,26,45,41,0,13
9,4,56,21,41,0,7
9,5,3,5,56,0,45
9,6,63,35,11,0,53
9,7,22,49,63,0,22
10,0,51,44,27,0,28
10,1,63,27,10,0,25
10,2,38,21,19,0,43
