episode,query_idx,key,value,pred,correct,rank
0,0,178,165,223,0,155
0,1,8,62,62,1,1
0,2,162,200,122,0,246
0,3,188,178,31,0,174
0,4,53,5,135,0,111
0,5,237,88,36,0,237
0,6,124,190,67,0,205
0,7,246,175,92,0,66
0,8,84,245,6,0,183
0,9,31,182,68,0,74
0,10,160,192,32,0,98
0,11,243,37,157,0,217
0,12,36,22,120,0,189
0,13,74,90,218,0,135
0,14,239,248,180,0,5
0,15,177,82,152,0,18
1,0,17,182,6,0,235
1,1,22,207,101,0,5
1,2,216,50,145,0,32
1,3,218,95,36,0,112
1,4,219,172,166,0,184
1,5,66,223,119,0,44
1,6,16,152,164,0,94
1,7,232,53,25,0,37
1,8,212,138,65,0,174
1,9,59,48,163,0,103
1,10,233,27,251,0,15
1,11,220,101,16,0,87
1,12,140,156,37,0,212
1,13,151,29,199,0,38
1,14,3,136,143,0,149
1,15,23,28,38,0,211
2,0,116,67,185,0,8
2,1,199,43,149,0,59
2,2,48,158,226,0,12
2,3,155,97,25,0,122
2,4,84,238,6,0,24
2,5,186,46,52,0,168
2,6,63,15,249,0,87
2,7,190,24,142,0,236
2,8,173,138,184,0,206
2,9,196,203,256,0,242
2,10,176,22,64,0,44
2,11,50,102,35,0,211
2,12,12,13,172,0,107
2,13,100,77,100,0,127
2,14,232,52,25,0,182
2,15,191,112,77,0,23
3,0,161,53,119,0,91
3,1,12,235,172,0,61
3,2,51,193,111,0,153
3,3,89,221,115,0,215
3,4,196,147,256,0,127
3,5,61,215,172,0,163
3,6,149,52,90,0,183
3,7,223,132,48,0,65
3,8,50,34,221,0,36
3,9,200,56,15,0,228
3,10,76,176,176,1,1
3,11,14,43,231,0,206
3,12,178,183,223,0,192
3,13,195,255,165,0,34
3,14,81,23,32,0,96
3,15,31,209,68,0,48
4,0,179,107,100,0,216
4,1,85,197,168,0,65
4,2,176,3,167,0,22
4,3,121,211,113,0,53
4,4,106,102,152,0,212
4,5,193,56,123,0,240
4,6,153,194,87,0,156
4,7,18,211,79,0,185
4,8,232,228,250,0,132
4,9,22,165,101,0,7
4,10,254,122,13,0,44
4,11,235,172,8,0,134
4,12,81,210,32,0,76
4,13,74,88,218,0,137
4,14,2,21,100,0,39
4,15,3,168,143,0,39
5,0,133,142,25,0,197
5,1,175,66,25,0,180
5,2,170,188,22,0,82
5,3,62,93,73,0,186
5,4,220,36,79,0,238
5,5,55,231,244,0,199
5,6,26,95,72,0,9
5,7,254,37,13,0,192
5,8,122,219,177,0,68
5,9,10,114,91,0,246
5,10,8,237,62,0,101
5,11,112,254,100,0,52
5,12,164,69,160,0,41
