episode,query_idx,key,value,pred,correct,rank
0,0,178,165,162,0,6
0,1,8,62,237,0,184
0,2,162,200,191,0,56
0,3,188,178,197,0,219
0,4,53,5,157,0,78
0,5,237,88,128,0,141
0,6,124,190,12,0,137
0,7,246,175,118,0,219
0,8,84,245,97,0,202
0,9,31,182,177,0,53
0,10,160,192,224,0,200
0,11,243,37,15,0,218
0,12,36,22,231,0,31
0,13,74,90,254,0,178
0,14,239,248,8,0,50
0,15,177,82,127,0,255
1,0,17,182,65,0,65
1,1,22,207,5,0,122
1,2,216,50,174,0,19
1,3,218,95,234,0,68
1,4,219,172,245,0,234
1,5,66,223,8,0,193
1,6,16,152,170,0,54
1,7,232,53,234,0,64
1,8,212,138,146,0,140
1,9,59,48,154,0,239
1,10,233,27,33,0,186
1,11,220,101,138,0,48
1,12,140,156,242,0,3
1,13,151,29,50,0,119
1,14,3,136,217,0,35
1,15,23,28,64,0,106
2,0,116,67,101,0,23
2,1,199,43,197,0,108
2,2,48,158,188,0,241
2,3,155,97,256,0,206
2,4,84,238,97,0,228
2,5,186,46,133,0,175
2,6,63,15,13,0,195
2,7,190,24,28,0,175
2,8,173,138,25,0,30
2,9,196,203,113,0,113
2,10,176,22,68,0,31
2,11,50,102,121,0,59
2,12,12,13,74,0,164
2,13,100,77,158,0,63
2,14,232,52,234,0,107
2,15,191,112,150,0,54
3,0,161,53,76,0,70
3,1,12,235,74,0,2
3,2,51,193,58,0,88
3,3,89,221,10,0,44
3,4,196,147,113,0,169
3,5,61,215,25,0,251
3,6,149,52,174,0,197
3,7,223,132,7,0,160
3,8,50,34,121,0,196
3,9,200,56,43,0,252
3,10,76,176,76,0,114
3,11,14,43,122,0,107
3,12,178,183,22,0,223
3,13,195,255,246,0,101
3,14,81,23,82,0,134
3,15,31,209,177,0,237
4,0,179,107,176,0,27
4,1,85,197,29,0,24
4,2,176,3,68,0,118
4,3,121,211,15,0,197
4,4,106,102,56,0,236
4,5,193,56,117,0,30
4,6,153,194,37,0,37
4,7,18,211,79,0,25
4,8,232,228,70,0,37
4,9,22,165,5,0,95
4,10,254,122,169,0,203
4,11,235,172,56,0,139
4,12,81,210,82,0,107
4,13,74,88,254,0,72
4,14,2,21,234,0,207
4,15,3,168,217,0,201
5,0,133,142,76,0,21
5,1,175,66,219,0,112
5,2,170,188,82,0,214
5,3,62,93,223,0,209
5,4,220,36,138,0,146
5,5,55,231,43,0,63
5,6,26,95,212,0,11
5,7,254,37,169,0,161
5,8,122,219,169,0,99
5,9,10,114,228,0,6
5,10,8,237,237,1,1
5,11,112,254,21,0,231
5,12,164,69,101,0,4
5,13,106,157,56,0,83
5,14,163,226,139,0,237
5,15,104,157,196,0,197
6,0,253,206,113,0,210
6,1,162,17,191,0,84
6,2,25,14,72,0,206
6,3,81,56,179,0,231
6,4,15,176,103,0,35
6,5,133,66,76,0,2
6,6,43,96,191,0,91
6,7,147,210,220,0,239
6,8,39,245,233,0,18
6,9,204,48,120,0,254
6,10,114,225,84,0,104
6,11,10,17,48,0,126
6,12,171,9,102,0,72
6,13,180,58,35,0,222
6,14,249,54,60,0,160
6,15,192,112,256,0,197
7,0,130,109,29,0,187
7,1,34,93,102,0,165
7,2,181,242,211,0,189
7,3,148,237,124,0,64
7,4,217,63,244,0,135
7,5,228,78,115,0,222
7,6,255,147,78,0,123
7,7,59,38,17,0,121
7,8,94,102,255,0,21
7,9,196,245,113,0,228
7,10,183,78,154,0,217
7,11,187,106,234,0,153
7,12,123,246,191,0,201
7,13,27,118,121,0,176
7,14,140,127,242,0,183
7,15,63,197,197,1,1
8,0,48,221,188,0,82
8,1,70,222,93,0,94
8,2,159,249,27,0,23
8,3,173,175,25,0,140
8,4,2,196,234,0,91
8,5,137,225,255,0,79
8,6,35,179,38,0,4
8,7,186,234,5,0,172
8,8,86,102,6,0,182
8,9,184,0,9,0,213
8,10,33,42,13,0,196
8,11,223,71,7,0,230
8,12,29,202,221,0,132
8,13,105,62,33,0,141
8,14,5,104,209,0,127
8,15,41,51,160,0,63
9,0,200,195,71,0,235
9,1,214,133,247,0,160
9,2,113,86,100,0,43
9,3,98,3,163,0,128
9,4,135,192,52,0,189
9,5,209,218,234,0,68
9,6,115,36,34,0,131
9,7,120,34,97,0,186
9,8,203,241,29,0,95
9,9,81,151,82,0,39
9,10,143,66,216,0,258
9,11,216,228,174,0,35
9,12,215,184,3,0,37
9,13,183,196,114,0,64
9,14,247,129,95,0,131
9,15,160,13,224,0,163
10,0,216,171,174,0,94
10,1,155,246,105,0,217
10,2,29,160,221,0,134
10,3,8,26,237,0,255
10,4,137,213,255,0,195
10,5,70,105,93,0,249
10,6,140,107,242,0,191
10,7,31,22,177,0,198
10,8,50,157,121,0,173
10,9,218,209,234,0,189
10,10,177,132,127,0,219
10,11,187,88,59,0,104
10,12,58,76,76,1,1
10,13,232,148,70,0,186
10,14,21,189,133,0,94
10,15,221,250,223,0,238
11,0,254,63,169,0,143
11,1,70,190,93,0,136
11,2,58,120,0,0,116
11,3,93,238,69,0,52
11,4,252,165,42,0,86
11,5,149,158,45,0,231
11,6,105,65,33,0,159
11,7,172,171,120,0,52
11,8,148,131,254,0,203
11,9,233,120,33,0,201
11,10,112,147,21,0,86
11,11,251,70,39,0,150
11,12,194,147,18,0,227
11,13,199,219,197,0,93
11,14,161,170,55,0,188
11,15,59,168,154,0,233
12,0,201,104,215,0,62
12,1,31,225,177,0,74
12,2,57,69,249,0,165
12,3,38,136,52,0,223
12,4,22,234,5,0,138
12,5,3,27,217,0,3
12,6,161,254,189,0,129
12,7,190,159,231,0,72
12,8,183,147,114,0,86
12,9,179,122,28,0,140
12,10,120,77,97,0,39
12,11,217,87,244,0,198
12,12,113,142,204,0,129
12,13,146,71,193,0,217
12,14,129,139,21,0,56
12,15,191,180,96,0,163
