model,params,train_tokens,seed,vocab,window,slots,use_accumulator,g1_mqar_8,g1_mqar_16,g1_mqar_64,g1_mqar_256,g1_induction,g1_copy,g1_2hop,g2_bpb_1x,g2_bpb_4x,g2_bpb_8x,g2_delta_4x,g2_delta_8x,g3_valid_bpb,g3_test_bpb,g4_state_bytes,g4_ms_per_token,gpu_hours,notes
transformer-tiny,25304576,0,0,256,,,,,0.015625,0.0,,0.0,0.0,0.0,13.374126576817291,13.304098113550987,,-0.07002846326630419,,,,6291456,12.364096500050437,0,"M1 smoke, random init, zero train tokens, miniature envelope (N<=64, T<=256, CPU fp32)"
p1-tiny,25311548,0,0,256,128,,,,0.01171875,0.00390625,,0.0,0.0,0.0,13.186260821678708,13.296136101790143,,0.1098752801114351,,,,3145824,12.174299999969662,0,"M1 smoke, random init, zero train tokens, miniature envelope (N<=64, T<=256, CPU fp32)"
p5-tiny,25311548,0,0,256,128,,,,0.0,0.0048828125,,0.0,0.0,0.0,13.324712835744421,13.23158250975403,,-0.09313032599039062,,,,4718688,12.550328499855823,0,"M1 smoke, random init, zero train tokens, miniature envelope (N<=64, T<=256, CPU fp32)"
p1-small,113463720,0,0,256,128,,,,,,,,,,,,,,,8.21095875271862,,,,0,"M1 smoke, random init, zero train tokens, miniature envelope (N<=64, T<=256, CPU fp32) | G3 on 4KB seeded-random byte fixture (sha 9d37d1a1cb4a), NOT enwik8"
p1-toy,336332,1584000,0,64,16,,,0.29125,0.048,,,0.0,0.0,0.57,,,,,,,,24592,1.066,0,"cell g1_mqar_16=N16-extrapolation (0.048), g1_mqar_8=N8-train-N (0.29125). M2 toy matched-budget MQAR (vocab64 N8, 3000 steps x batch16 = 1.584M tokens, lr3e-4, CPU fp32); G1 toy envelope (200 eps, N8/N16, gap16, copy32); G4 toy timed; checkpoints regenerable: train cmd + seed (deterministic CPU); curves in ledger/curves/m2-toy/. Refs #294 train-window=16 eval-window=16 (pre-fix harness dropped --window, A2 INVALID pending re-eval with --window)."
p1-toy,336332,1584000,1,64,16,,,0.304375,0.035,,,0.0,0.0,0.385,,,,,,,,24592,,0,"cell g1_mqar_16=N16-extrapolation (0.035), g1_mqar_8=N8-train-N (0.304375). M2 toy matched-budget MQAR (vocab64 N8, 3000 steps x batch16 = 1.584M tokens, lr3e-4, CPU fp32); G1 toy envelope (200 eps, N8/N16, gap16, copy32); G4 toy timed; checkpoints regenerable: train cmd + seed (deterministic CPU); curves in ledger/curves/m2-toy/. Refs #294"
p1-toy,336332,1584000,2,64,16,,,0.266875,0.035,,,0.0,0.0,0.425,,,,,,,,24592,,0,"cell g1_mqar_16=N16-extrapolation (0.035), g1_mqar_8=N8-train-N (0.266875). M2 toy matched-budget MQAR (vocab64 N8, 3000 steps x batch16 = 1.584M tokens, lr3e-4, CPU fp32); G1 toy envelope (200 eps, N8/N16, gap16, copy32); G4 toy timed; checkpoints regenerable: train cmd + seed (deterministic CPU); curves in ledger/curves/m2-toy/. Refs #294"
p5-toy,336332,1584000,0,64,16,,,0.31375,0.0,,,0.0,0.0,0.63,,,,,,,,40976,1.053,0,"cell g1_mqar_16=N16-extrapolation (0.0), g1_mqar_8=N8-train-N (0.31375). M2 toy matched-budget MQAR (vocab64 N8, 3000 steps x batch16 = 1.584M tokens, lr3e-4, CPU fp32); G1 toy envelope (200 eps, N8/N16, gap16, copy32); G4 toy timed; checkpoints regenerable: train cmd + seed (deterministic CPU); curves in ledger/curves/m2-toy/. Refs #294"
p5-toy,336332,1584000,1,64,16,,,0.299375,0.0,,,0.0,0.0,0.5,,,,,,,,40976,,0,"cell g1_mqar_16=N16-extrapolation (0.0), g1_mqar_8=N8-train-N (0.299375). M2 toy matched-budget MQAR (vocab64 N8, 3000 steps x batch16 = 1.584M tokens, lr3e-4, CPU fp32); G1 toy envelope (200 eps, N8/N16, gap16, copy32); G4 toy timed; checkpoints regenerable: train cmd + seed (deterministic CPU); curves in ledger/curves/m2-toy/. Refs #294"
p5-toy,336332,1584000,2,64,16,,,0.2875,0.0,,,0.0,0.0,0.465,,,,,,,,40976,,0,"cell g1_mqar_16=N16-extrapolation (0.0), g1_mqar_8=N8-train-N (0.2875). M2 toy matched-budget MQAR (vocab64 N8, 3000 steps x batch16 = 1.584M tokens, lr3e-4, CPU fp32); G1 toy envelope (200 eps, N8/N16, gap16, copy32); G4 toy timed; checkpoints regenerable: train cmd + seed (deterministic CPU); curves in ledger/curves/m2-toy/. Refs #294"
transformer-toy,336768,1584000,0,64,,,,0.153125,0.092,,,0.0,0.0,0.095,,,,,,,,2097152,2.067,0,"cell g1_mqar_16=N16-extrapolation (0.092), g1_mqar_8=N8-train-N (0.153125). M2 toy matched-budget MQAR (vocab64 N8, 3000 steps x batch16 = 1.584M tokens, lr3e-4, CPU fp32); G1 toy envelope (200 eps, N8/N16, gap16, copy32); G4 toy timed; checkpoints regenerable: train cmd + seed (deterministic CPU); curves in ledger/curves/m2-toy/. Refs #294"
transformer-toy,336768,1584000,1,64,,,,0.13375,0.093,,,0.0,0.0,0.16,,,,,,,,2097152,,0,"cell g1_mqar_16=N16-extrapolation (0.093), g1_mqar_8=N8-train-N (0.13375). M2 toy matched-budget MQAR (vocab64 N8, 3000 steps x batch16 = 1.584M tokens, lr3e-4, CPU fp32); G1 toy envelope (200 eps, N8/N16, gap16, copy32); G4 toy timed; checkpoints regenerable: train cmd + seed (deterministic CPU); curves in ledger/curves/m2-toy/. Refs #294"
transformer-toy,336768,1584000,2,64,,,,0.150625,0.087,,,0.0,0.0,0.1,,,,,,,,2097152,,0,"cell g1_mqar_16=N16-extrapolation (0.087), g1_mqar_8=N8-train-N (0.150625). M2 toy matched-budget MQAR (vocab64 N8, 3000 steps x batch16 = 1.584M tokens, lr3e-4, CPU fp32); G1 toy envelope (200 eps, N8/N16, gap16, copy32); G4 toy timed; checkpoints regenerable: train cmd + seed (deterministic CPU); curves in ledger/curves/m2-toy/. Refs #294"
p2-toy,336074,528000,0,64,16,16,,0.0825,,,,,,0.0300,,,,,,,,,,0,"M3 P2 first falsification (seed0, 1000 steps = 0.528M tokens, G16/stride8, vocab64/N8, 100 eps): mqar8 0.0825, 2hop 0.03. Above matched p1-W16-1000 ref 0.0625; below M2b 3000-step arms (different budget, not comparable). A4 G-sweep + 3-seed runs pending. Refs #294, NOT a gate result."
p3-toy,336594,528000,0,64,16,,True,0.0600,,,,,,0.0100,,,,,,,,,,0,"M3 P3 first falsification (seed0, 1000 steps = 0.528M tokens, vocab64/N8, 100 eps): mqar8 0.0600, 2hop 0.01, rescale hook armed (no fires at toy T). Matches matched p1-W16-1000 ref 0.0625 within noise. H3 needs S-tiny copy tasks. Refs #294, NOT a gate result."
p3-toy,336594,528000,0,64,16,,False,0.06125,,,,,,0.0200,,,,,,,,,,0,"M3 A3 control (seed0, 1000 steps = 0.528M tokens, --no-accumulator, vocab64/N8, 100 eps, eval loader inherits ckpt use_accumulator=False): mqar8 0.06125, 2hop 0.02 vs p3 full 0.0600/0.01. Accumulator shows NO advantage at toy N8 (H3 unresolved, needs S-tiny copy). Re-runnable via train.py --no-accumulator. Refs #294, NOT a gate result."
